p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.45,alternating,2000,0.5,0.0,5,11,12,0.5,0.0,5,11,12, [-0.095500 1表 1裏 1目 1～2局 2000試] [-0.067500 1表 1裏 2目 2～6局 2000試] [-0.030000 1表 1裏 3目 3～10局 2000試] [-0.021000 1表 3裏 4目 2～13局 2000試] [-0.020500 1表 2裏 5目 3～17局 2000試] [-0.020000 1表 4裏 5目 2～17局 2000試] [-0.005500 2表 4裏 5目 2～10局 2000試] [-0.001000 1表 2裏 6目 4～20局 2000試] [0.000000 5表 11裏 12目 2～10局 2000試]
0.51,0.45,alternating,2000,0.5005,0.0004999999999999449,1,3,11,0.5005,0.0004999999999999449,1,3,11, [-0.107000 1表 1裏 1目 1～2局 2000試] [-0.060000 1表 1裏 2目 2～6局 2000試] [-0.008500 1表 1裏 3目 3～10局 2000試] [-0.001500 2表 4裏 5目 2～10局 2000試] [0.000500 1表 3裏 11目 5～39局 2000試]
0.52,0.45,alternating,2000,0.5005,0.0004999999999999449,1,1,16,0.5005,0.0004999999999999449,1,1,16, [-0.105500 1表 1裏 1目 1～2局 2000試] [-0.045500 1表 1裏 2目 2～6局 2000試] [-0.037500 1表 1裏 3目 3～10局 2000試] [-0.036000 1表 1裏 4目 4～13局 2000試] [-0.032500 1表 2裏 4目 3～13局 2000試] [-0.013500 1表 3裏 4目 2～13局 2000試] [-0.009500 2表 3裏 5目 2～10局 2000試] [0.001500 2表 4裏 6目 2～10局 2000試] [-0.001000 2表 5裏 13目 4～24局 2000試] [0.000500 1表 1裏 16目 16～57局 2000試]
0.53,0.45,alternating,2000,0.5005,0.0004999999999999,1,3,4,0.5005,0.0004999999999999,1,3,4, [-0.085000 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 2目 2～6局 2000試] [-0.030000 1表 1裏 3目 3～10局 2000試] [-0.025000 1表 2裏 4目 3～13局 2000試] [0.000500 1表 3裏 4目 2～13局 2000試]
0.54,0.45,alternating,2000,0.5,0.0,1,2,10,0.5,0.0,1,2,10, [-0.091500 1表 1裏 1目 1～2局 2000試] [-0.054500 1表 1裏 2目 2～6局 2000試] [-0.048000 1表 1裏 3目 3～10局 2000試] [-0.026000 1表 2裏 3目 2～10局 2000試] [-0.025000 1表 1裏 4目 4～13局 2000試] [-0.023500 1表 2裏 5目 3～17局 2000試] [-0.002000 1表 4裏 5目 2～17局 2000試] [0.000000 1表 2裏 10目 7～35局 2000試]
0.55,0.45,alternating,2000,0.4995,-0.0005000000000000004,4,6,10,0.4995,-0.0005000000000000004,4,6,10, [-0.081000 1表 1裏 1目 1～2局 2000試] [-0.054000 1表 1裏 2目 2～6局 2000試] [-0.039500 1表 1裏 3目 3～10局 2000試] [-0.025000 1表 2裏 3目 2～10局 2000試] [-0.011000 1表 3裏 4目 2～13局 2000試] [-0.009500 2表 3裏 5目 2～10局 2000試] [-0.006000 2表 4裏 5目 2～10局 2000試] [-0.002000 1表 4裏 6目 3～20局 2000試] [-0.001000 2表 5裏 6目 2～10局 2000試] [-0.000500 4表 6裏 10目 2～10局 2000試]
0.56,0.45,alternating,2000,0.5,0.0,1,4,13,0.5,0.0,1,4,13, [-0.062000 1表 1裏 1目 1～2局 2000試] [-0.058000 1表 2裏 2目 1～6局 2000試] [-0.034500 1表 1裏 3目 3～10局 2000試] [-0.029000 1表 2裏 3目 2～10局 2000試] [-0.008500 1表 2裏 4目 3～13局 2000試] [-0.001000 2表 4裏 5目 2～10局 2000試] [0.000000 1表 4裏 13目 5～46局 2000試]
0.57,0.45,alternating,2000,0.5,0.0,1,2,9,0.5,0.0,1,2,9, [-0.100500 1表 1裏 1目 1～2局 2000試] [-0.041500 1表 1裏 2目 2～6局 2000試] [-0.019500 1表 2裏 3目 2～10局 2000試] [-0.014000 1表 2裏 4目 3～13局 2000試] [-0.009500 1表 3裏 4目 2～13局 2000試] [-0.006000 1表 4裏 5目 2～17局 2000試] [0.003500 3表 4裏 7目 2～10局 2000試] [0.002000 3表 7裏 8目 2～10局 2000試] [0.000000 1表 2裏 9目 6～31局 2000試]
0.58,0.45,alternating,2000,0.5005,0.0004999999999999,1,2,4,0.5005,0.0004999999999999,1,2,4, [-0.067500 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 2目 2～6局 2000試] [-0.009000 1表 2裏 3目 2～10局 2000試] [0.000500 1表 2裏 4目 3～13局 2000試]
0.59,0.45,alternating,2000,0.5,0.0,2,4,10,0.5,0.0,2,4,10, [-0.068500 1表 1裏 1目 1～2局 2000試] [-0.060000 1表 1裏 2目 2～6局 2000試] [-0.051000 1表 2裏 2目 1～6局 2000試] [-0.028000 1表 1裏 3目 3～10局 2000試] [-0.015500 1表 2裏 3目 2～10局 2000試] [-0.014000 1表 2裏 4目 3～13局 2000試] [-0.009000 1表 3裏 4目 2～13局 2000試] [-0.004000 1表 2裏 5目 3～17局 2000試] [-0.002000 1表 2裏 8目 5～28局 2000試] [0.000000 2表 4裏 10目 3～17局 2000試]
