p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.51,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.52,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.53,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.54,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.55,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.56,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.57,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.58,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.59,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.6,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.61,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.62,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.63,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.64,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.65,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.66,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.67,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.68,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.69,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.7,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.71,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.72,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.73,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.74,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.75,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.76,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.77,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.78,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.79,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.8,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.81,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.82,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.83,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.84,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.85,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.86,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.87,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.88,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.89,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.9,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.91,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.92,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.93,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.94,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
0.95,0.05,alternating,2000,0,0.51,0,1,1,0,0.51,0,1,1,
