p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.0,frozen,2000,0.4995,-0.0005000000000000004,5,5,5,0.4995,-0.0005000000000000004,5,5,5, [-0.021500 1表 1裏 1目 1～1局 2000試] [0.003000 1表 1裏 2目 2～3局 2000試] [-0.001000 1表 1裏 4目 4～7局 2000試] [-0.000500 5表 5裏 5目 1～1局 2000試]
0.51,0.0,frozen,2000,0.5005,0.0004999999999999449,6,9,10,0.5005,0.0004999999999999449,6,9,10, [-0.006000 1表 1裏 1目 1～1局 2000試] [-0.004500 4表 4裏 4目 1～1局 2000試] [-0.001000 4表 4裏 5目 1～3局 2000試] [0.000500 6表 9裏 10目 1～3局 2000試]
0.52,0.0,frozen,2000,0.5,0.0,9,11,16,0.5,0.0,9,11,16, [0.026500 1表 1裏 1目 1～1局 2000試] [0.011000 3表 3裏 3目 1～1局 2000試] [0.010000 4表 4裏 4目 1～1局 2000試] [0.007000 5表 5裏 7目 1～3局 2000試] [0.004000 6表 6裏 8目 1～3局 2000試] [0.000000 9表 11裏 16目 1～3局 2000試]
0.53,0.0,frozen,2000,0.4995,-0.0005000000000000004,5,6,38,0.4995,-0.0005000000000000004,5,6,38, [0.043000 1表 1裏 1目 1～1局 2000試] [0.026500 2表 2裏 2目 1～1局 2000試] [0.026000 3表 3裏 3目 1～1局 2000試] [0.022500 5表 6裏 7目 1～3局 2000試] [0.015500 8表 8裏 8目 1～1局 2000試] [0.014000 15表 20裏 21目 1～3局 2000試] [0.013000 17表 17裏 23目 1～3局 2000試] [0.009500 14表 14裏 26目 2～3局 2000試] [-0.002500 4表 5裏 27目 5～12局 2000試] [0.002500 4表 5裏 36目 7～16局 2000試] [-0.000500 5表 6裏 38目 6～14局 2000試]
0.54,0.0,frozen,2000,0.5,0.0,6,7,45,0.5,0.0,6,7,45, [0.040500 1表 1裏 1目 1～1局 2000試] [0.037500 2表 2裏 2目 1～1局 2000試] [0.020000 3表 3裏 3目 1～1局 2000試] [0.012000 3表 4裏 21目 5～12局 2000試] [-0.011000 5表 7裏 22目 3～8局 2000試] [-0.005000 4表 5裏 26目 5～12局 2000試] [-0.001500 5表 6裏 28目 5～10局 2000試] [0.001000 5表 6裏 31目 5～12局 2000試] [0.000000 6表 7裏 45目 6～14局 2000試]
0.55,0.0,frozen,2000,0.5,0.0,5,6,23,0.5,0.0,5,6,23, [0.040500 1表 1裏 1目 1～1局 2000試] [0.039500 4表 4裏 4目 1～1局 2000試] [0.031500 9表 9裏 9目 1～1局 2000試] [-0.006500 3表 4裏 13目 3～8局 2000試] [-0.002500 3表 4裏 18目 5～10局 2000試] [0.001500 4表 5裏 23目 5～10局 2000試] [0.000000 5表 6裏 23目 4～8局 2000試]
0.56,0.0,frozen,2000,0.4995,-0.0005000000000000004,5,6,22,0.4995,-0.0005000000000000004,5,6,22, [0.057000 1表 1裏 1目 1～1局 2000試] [0.043500 6表 6裏 6目 1～1局 2000試] [-0.031500 2表 3裏 7目 2～6局 2000試] [0.008000 2表 3裏 10目 3～8局 2000試] [-0.004000 3表 4裏 13目 3～8局 2000試] [0.001500 3表 4裏 14目 4～8局 2000試] [-0.000500 5表 6裏 22目 4～8局 2000試]
0.57,0.0,frozen,2000,0.5005,0.0004999999999999449,12,16,40,0.5005,0.0004999999999999449,12,16,40, [0.080000 1表 1裏 1目 1～1局 2000試] [0.065000 2表 2裏 2目 1～1局 2000試] [0.056000 3表 3裏 3目 1～1局 2000試] [0.055500 4表 4裏 4目 1～1局 2000試] [-0.012500 2表 3裏 7目 2～6局 2000試] [-0.005000 3表 4裏 10目 3～6局 2000試] [0.001000 4表 5裏 20目 4～8局 2000試] [0.000500 12表 16裏 40目 3～6局 2000試]
0.58,0.0,frozen,2000,0.5005,0.0004999999999999449,5,7,17,0.5005,0.0004999999999999449,5,7,17, [0.058500 1表 1裏 1目 1～1局 2000試] [-0.051000 1表 2裏 3目 2～4局 2000試] [-0.042000 2表 3裏 6目 2～4局 2000試] [0.013500 2表 3裏 7目 2～6局 2000試] [-0.006000 2表 3裏 8目 3～6局 2000試] [0.003000 3表 4裏 11目 3～6局 2000試] [0.001500 4表 6裏 13目 2～6局 2000試] [0.000500 5表 7裏 17目 2～6局 2000試]
0.59,0.0,frozen,2000,0.4995,-0.0005000000000000004,9,12,55,0.4995,-0.0005000000000000004,9,12,55, [0.090500 1表 1裏 1目 1～1局 2000試] [0.082000 2表 2裏 2目 1～1局 2000試] [-0.040500 1表 2裏 3目 2～4局 2000試] [-0.021500 2表 3裏 5目 2～4局 2000試] [0.015500 2表 3裏 7目 2～6局 2000試] [0.012500 3表 4裏 10目 3～6局 2000試] [-0.011500 2表 3裏 13目 4～11局 2000試] [0.005500 4表 6裏 14目 2～6局 2000試] [-0.004000 9表 12裏 21目 2～4局 2000試] [-0.002500 2表 3裏 25目 8～21局 2000試] [0.002500 7表 10裏 28目 3～6局 2000試] [0.002000 9表 12裏 31目 3～6局 2000試] [0.001500 4表 6裏 38目 6～16局 2000試] [0.001000 8表 12裏 52目 4～11局 2000試] [-0.000500 9表 12裏 55目 5～11局 2000試]
