p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.0,frozen,1,0.5,0.0,1,1,1,0.5,0.0,1,1,1, [0.000000 1表 1裏 1目 1～1局 1試]
0.51,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.010000 1表 1裏 1目 1～1局 1試] [-0.009416 11表 12裏 241目 20～42局 1試] [-0.006799 11表 12裏 253目 21～44局 1試] [-0.004302 12表 13裏 287目 22～46局 1試] [-0.001912 12表 13裏 300目 23～48局 1試] [0.000380 13表 14裏 337目 24～50局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.52,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.020000 1表 1裏 1目 1～1局 1試] [-0.016557 5表 6裏 55目 9～20局 1試] [-0.009016 6表 7裏 71目 10～22局 1試] [-0.002142 6表 7裏 78目 11～24局 1試] [-0.001510 8表 9裏 208目 23～49局 1試] [-0.001232 9表 10裏 351目 35～74局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.53,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.030000 1表 1裏 1目 1～1局 1試] [-0.029653 3表 4裏 21目 5～12局 1試] [-0.014777 4表 5裏 31目 6～14局 1試] [-0.001922 4表 5裏 36目 7～16局 1試] [0.000022 6表 7裏 106目 15～33局 1試] [0.000003 7表 8裏 497目 62～133局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.54,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.040000 1表 1裏 1目 1～1局 1試] [-0.021557 3表 4裏 17目 4～10局 1試] [-0.001395 3表 4裏 21目 5～12局 1試] [-0.000665 5表 6裏 169目 28～62局 1試] [-0.000499 6表 7裏 361目 52～112局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.55,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.050000 1表 1裏 1目 1～1局 1試] [-0.023044 2表 3裏 10目 3～8局 1試] [0.004405 3表 4裏 17目 4～10局 1試] [0.002476 4表 5裏 66目 13～30局 1試] [0.001907 4表 5裏 111目 22～50局 1試] [0.001608 4表 5裏 156目 31～70局 1試] [0.001416 5表 6裏 246目 41～90局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.56,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.060000 1表 1裏 1目 1～1局 1試] [-0.038172 2表 3裏 7目 2～6局 1試] [0.000364 2表 3裏 10目 3～8局 1試] [0.000045 3表 4裏 57目 14～33局 1試] [0.000020 4表 5裏 129目 26～58局 1試] [0.000011 4表 5裏 185目 37～83局 1試] [0.000008 7表 9裏 424目 47～108局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.57,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.070000 1表 1裏 1目 1～1局 1試] [-0.017696 2表 3裏 7目 2～6局 1試] [-0.014588 2表 3裏 16目 5～13局 1試] [-0.013644 3表 4裏 34目 9～20局 1試] [0.010931 3表 4裏 37目 9～22局 1試] [0.008020 3表 4裏 49目 12～29局 1試] [0.005852 3表 4裏 61目 15～36局 1試] [0.004124 3表 4裏 73目 18～43局 1試] [0.002683 3表 4裏 85目 21～50局 1試] [0.001445 3表 4裏 97目 24～57局 1試] [0.000355 3表 4裏 109目 27～64局 1試] [0.000214 3表 4裏 281目 70～164局 1試] [0.000168 3表 4裏 453目 113～264局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.58,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.080000 1表 1裏 1目 1～1局 1試] [-0.059047 1表 2裏 3目 2～4局 1試] [0.002905 2表 3裏 7目 2～6局 1試] [-0.001716 3表 4裏 64目 16～37局 1試] [0.000747 5表 7裏 162目 23～56局 1試] [0.000534 5表 7裏 309目 44～106局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.59,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.090000 1表 1裏 1目 1～1局 1試] [-0.042005 1表 2裏 3目 2～4局 1試] [0.023591 2表 3裏 7目 2～6局 1試] [0.005203 2表 3裏 13目 4～11局 1試] [0.000070 2表 3裏 40目 13～33局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.6,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.100000 1表 1裏 1目 1～1局 1試] [-0.024800 1表 2裏 3目 2～4局 1試] [-0.017390 2表 3裏 11目 4～9局 1試] [-0.014145 2表 3裏 17目 6～14局 1試] [-0.012225 2表 3裏 23目 8～19局 1試] [-0.010920 2表 3裏 29目 10～24局 1試] [-0.009959 2表 3裏 35目 12～29局 1試] [-0.009215 2表 3裏 41目 14～34局 1試] [-0.008615 2表 3裏 47目 16～39局 1試] [-0.008119 2表 3裏 53目 18～44局 1試] [-0.007700 2表 3裏 59目 20～49局 1試] [-0.007340 2表 3裏 65目 22～54局 1試] [-0.007026 2表 3裏 71目 24～59局 1試] [-0.006749 2表 3裏 77目 26～64局 1試] [-0.006503 2表 3裏 83目 28～69局 1試] [-0.006281 2表 3裏 89目 30～74局 1試] [-0.006081 2表 3裏 95目 32～79局 1試] [-0.005899 2表 3裏 101目 34～84局 1試] [-0.005732 2表 3裏 107目 36～89局 1試] [-0.005579 2表 3裏 113目 38～94局 1試] [-0.005437 2表 3裏 119目 40～99局 1試] [-0.005306 2表 3裏 125目 42～104局 1試] [-0.005183 2表 3裏 131目 44～109局 1試] [-0.005069 2表 3裏 137目 46～114局 1試] [-0.004962 2表 3裏 143目 48～119局 1試] [-0.004862 2表 3裏 149目 50～124局 1試] [-0.004767 2表 3裏 155目 52～129局 1試] [-0.004678 2表 3裏 161目 54～134局 1試] [-0.004593 2表 3裏 167目 56～139局 1試] [-0.004513 2表 3裏 173目 58～144局 1試] [-0.004437 2表 3裏 179目 60～149局 1試] [-0.004365 2表 3裏 185目 62～154局 1試] [-0.004296 2表 3裏 191目 64～159局 1試] [-0.004230 2表 3裏 197目 66～164局 1試] [-0.004167 2表 3裏 203目 68～169局 1試] [-0.004107 2表 3裏 209目 70～174局 1試] [-0.004050 2表 3裏 215目 72～179局 1試] [-0.003995 2表 3裏 221目 74～184局 1試] [-0.003942 2表 3裏 227目 76～189局 1試] [-0.003891 2表 3裏 233目 78～194局 1試] [-0.003842 2表 3裏 239目 80～199局 1試] [-0.003794 2表 3裏 245目 82～204局 1試] [-0.003749 2表 3裏 251目 84～209局 1試] [-0.003705 2表 3裏 257目 86～214局 1試] [-0.003663 2表 3裏 263目 88～219局 1試] [-0.003622 2表 3裏 269目 90～224局 1試] [-0.003582 2表 3裏 275目 92～229局 1試] [-0.003544 2表 3裏 281目 94～234局 1試] [-0.003507 2表 3裏 287目 96～239局 1試] [-0.003471 2表 3裏 293目 98～244局 1試] [-0.003436 2表 3裏 299目 100～249局 1試] [-0.003402 2表 3裏 305目 102～254局 1試] [-0.003369 2表 3裏 311目 104～259局 1試] [-0.003337 2表 3裏 317目 106～264局 1試] [-0.003306 2表 3裏 323目 108～269局 1試] [-0.003276 2表 3裏 329目 110～274局 1試] [-0.003246 2表 3裏 335目 112～279局 1試] [-0.003218 2表 3裏 341目 114～284局 1試] [-0.003190 2表 3裏 347目 116～289局 1試] [-0.003162 2表 3裏 353目 118～294局 1試] [-0.003136 2表 3裏 359目 120～299局 1試] [-0.003110 2表 3裏 365目 122～304局 1試] [-0.003085 2表 3裏 371目 124～309局 1試] [-0.003060 2表 3裏 377目 126～314局 1試] [-0.003036 2表 3裏 383目 128～319局 1試] [-0.003013 2表 3裏 389目 130～324局 1試] [-0.002990 2表 3裏 395目 132～329局 1試] [-0.002967 2表 3裏 401目 134～334局 1試] [-0.002946 2表 3裏 407目 136～339局 1試] [-0.002924 2表 3裏 413目 138～344局 1試] [-0.002903 2表 3裏 419目 140～349局 1試] [-0.002883 2表 3裏 425目 142～354局 1試] [-0.002862 2表 3裏 431目 144～359局 1試] [-0.002843 2表 3裏 437目 146～364局 1試] [-0.002824 2表 3裏 443目 148～369局 1試] [-0.002805 2表 3裏 449目 150～374局 1試] [-0.002786 2表 3裏 455目 152～379局 1試] [-0.002768 2表 3裏 461目 154～384局 1試] [-0.002750 2表 3裏 467目 156～389局 1試] [-0.002733 2表 3裏 473目 158～394局 1試] [-0.002715 2表 3裏 479目 160～399局 1試] [-0.002699 2表 3裏 485目 162～404局 1試] [-0.002682 2表 3裏 491目 164～409局 1試] [-0.002666 2表 3裏 497目 166～414局 1試] [-0.002650 2表 3裏 503目 168～419局 1試] [-0.002634 2表 3裏 509目 170～424局 1試] [-0.002619 2表 3裏 515目 172～429局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.61,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.110000 1表 1裏 1目 1～1局 1試] [-0.007451 1表 2裏 3目 2～4局 1試] [-0.007370 2表 3裏 27目 9～22局 1試] [0.001164 2表 3裏 33目 11～27局 1試] [-0.000273 5表 8裏 265目 33～86局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.62,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.120000 1表 1裏 1目 1～1局 1試] [-0.115600 1表 2裏 2目 1～2局 1試] [0.010022 1表 2裏 3目 2～4局 1試] [-0.004281 2表 3裏 15目 5～12局 1試] [0.000097 3表 5裏 61目 12～33局 1試] [0.000024 3表 5裏 156目 31～83局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.63,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.130000 1表 1裏 1目 1～1局 1試] [-0.103100 1表 2裏 2目 1～2局 1試] [0.027599 1表 2裏 3目 2～4局 1試] [-0.013359 1表 2裏 5目 3～7局 1試] [-0.001073 3表 5裏 28目 6～15局 1試] [0.000498 3表 5裏 79目 16～42局 1試] [-0.000497 7表 12裏 505目 42～115局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.64,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.140000 1表 1裏 1目 1～1局 1試] [-0.090400 1表 2裏 2目 1～2局 1試] [0.045260 1表 2裏 3目 2～4局 1試] [0.009383 1表 2裏 5目 3～7局 1試] [-0.002182 3表 5裏 40目 8～21局 1試] [-0.001560 4表 7裏 117目 17～46局 1試] [-0.001277 4表 7裏 181目 26～71局 1試] [-0.001107 4表 7裏 245目 35～96局 1試] [-0.000990 5表 9裏 388目 43～121局 1試] [-0.000904 5表 9裏 469目 52～146局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
0.65,0.0,frozen,1,1.01,0.0,1,1,516,1.01,0.0,1,1,516, [0.150000 1表 1裏 1目 1～1局 1試] [-0.077500 1表 2裏 2目 1～2局 1試] [0.062981 1表 2裏 3目 2～4局 1試] [0.032283 1表 2裏 5目 3～7局 1試] [0.013827 1表 2裏 7目 4～10局 1試] [0.000503 1表 2裏 9目 5～13局 1試] [0.000127 5表 9裏 106目 12～33局 1試] [0.000063 5表 9裏 171目 19～53局 1試] [0.000039 6表 11裏 283目 26～73局 1試] [0.000027 6表 11裏 361目 33～93局 1試] [0.000020 6表 11裏 439目 40～113局 1試] [0.000000 1表 1裏 516目 516～1031局 1試]
