p,failure_rate,best_p,best_p_error,best_trials_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_trials_series,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.0,0.5,0.0,1,1,1,1,0.5,0.0,1,1,1,1,[0.000000 1表 1裏 1目 1～1局 1試]
0.51,0.0,0.51,0.010000000000000009,1,1,1,1,0.012627833586419342,-0.48737216641358067,1,9,50,74,[0.010000 1表 1裏 1目 1～1局 1試]
0.52,0.0,0.49098400418419874,-0.009015995815801259,1,6,7,71,0.529984,0.02998400000000001,1,49,49,74,[0.020000 1表 1裏 1目 1～1局 1試] [-0.016557 5表 6裏 55目 9～20局 1試] [-0.009016 6表 7裏 71目 10～22局 1試]
0.53,0.0,0.49807819498834266,-0.0019218050116573404,1,4,5,36,0.35879357,-0.14120643,1,29,49,74,[0.030000 1表 1裏 1目 1～1局 1試] [-0.029653 3表 4裏 21目 5～12局 1試] [-0.014777 4表 5裏 31目 6～14局 1試] [-0.001922 4表 5裏 36目 7～16局 1試]
0.54,0.0,0.49860464972915075,-0.0013953502708492493,1,3,4,21,0.37476432000000004,-0.12523567999999996,1,25,49,74,[0.040000 1表 1裏 1目 1～1局 1試] [-0.021557 3表 4裏 17目 4～10局 1試] [-0.001395 3表 4裏 21目 5～12局 1試]
0.55,0.0,0.5024762553817467,0.0024762553817466726,1,4,5,66,0.39098125000000006,-0.10901874999999994,1,36,48,74,[0.050000 1表 1裏 1目 1～1局 1試] [-0.023044 2表 3裏 10目 3～8局 1試] [0.004405 3表 4裏 17目 4～10局 1試] [0.002476 4表 5裏 66目 13～30局 1試]
0.56,0.0,0.500045332367807,4.5332367807016105e-05,1,3,4,57,0.17623416832000005,-0.32376583167999995,1,15,49,74,[0.060000 1表 1裏 1目 1～1局 1試] [-0.038172 2表 3裏 7目 2～6局 1試] [0.000364 2表 3裏 10目 3～8局 1試] [0.000045 3表 4裏 57目 14～33局 1試]
0.57,0.0,0.5041237435309444,0.004123743530944357,1,3,4,73,0.604314,0.10431400000000002,1,40,47,74,[0.070000 1表 1裏 1目 1～1局 1試] [-0.017696 2表 3裏 7目 2～6局 1試] [-0.014588 2表 3裏 16目 5～13局 1試] [-0.013644 3表 4裏 34目 9～20局 1試] [0.010931 3表 4裏 37目 9～22局 1試] [0.008020 3表 4裏 49目 12～29局 1試] [0.005852 3表 4裏 61目 15～36局 1試] [0.004124 3表 4裏 73目 18～43局 1試]
0.58,0.0,0.4982839711528662,-0.0017160288471337881,1,3,4,64,0.0020641571752334684,-0.49793584282476655,1,5,49,74,[0.080000 1表 1裏 1目 1～1局 1試] [-0.059047 1表 2裏 3目 2～4局 1試] [0.002905 2表 3裏 7目 2～6局 1試] [-0.001716 3表 4裏 64目 16～37局 1試]
0.59,0.0,0.5000697711987205,6.977119872053628e-05,1,2,3,40,0.6335419999999999,0.13354199999999994,1,44,48,74,[0.090000 1表 1裏 1目 1～1局 1試] [-0.042005 1表 2裏 3目 2～4局 1試] [0.023591 2表 3裏 7目 2～6局 1試] [0.005203 2表 3裏 13目 4～11局 1試] [0.000070 2表 3裏 40目 13～33局 1試]
0.6,0.0,0.492974062730533,-0.007025937269466986,1,2,3,71,0.15863039999999995,-0.34136960000000005,1,13,46,74,[0.100000 1表 1裏 1目 1～1局 1試] [-0.024800 1表 2裏 3目 2～4局 1試] [-0.017390 2表 3裏 11目 4～9局 1試] [-0.014145 2表 3裏 17目 6～14局 1試] [-0.012225 2表 3裏 23目 8～19局 1試] [-0.010920 2表 3裏 29目 10～24局 1試] [-0.009959 2表 3裏 35目 12～29局 1試] [-0.009215 2表 3裏 41目 14～34局 1試] [-0.008615 2表 3裏 47目 16～39局 1試] [-0.008119 2表 3裏 53目 18～44局 1試] [-0.007700 2表 3裏 59目 20～49局 1試] [-0.007340 2表 3裏 65目 22～54局 1試] [-0.007026 2表 3裏 71目 24～59局 1試]
