p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.5,0.0,0.4797455,-0.02025450000000001,2000000.0,3.0,4.0,5.0,0.4797455,-0.02025450000000001,2000000.0,3.0,4.0,5.0, [-0.049905 1表 1裏 1目 1～1局] [-0.049851 2表 2裏 2目 1～1局] [-0.043070 1表 2裏 3目 2～4局] [-0.039753 1表 3裏 4目 2～5局] [-0.034301 1表 3裏 5目 3～6局] [-0.020255 3表 4裏 5目 2～3局]
0.51,0.0,0.481782,-0.018218000000000012,2000000.0,3.0,4.0,5.0,0.481782,-0.018218000000000012,2000000.0,3.0,4.0,5.0, [-0.041394 1表 1裏 1目 1～1局] [-0.040684 2表 2裏 2目 1～1局] [-0.040546 3表 3裏 3目 1～1局] [-0.037109 1表 3裏 4目 2～5局] [-0.031168 1表 3裏 5目 3～6局] [-0.018218 3表 4裏 5目 2～3局]
0.52,0.0,0.471038,-0.0289619999999999,2000000.0,1.0,3.0,5.0,0.471038,-0.0289619999999999,2000000.0,1.0,3.0,5.0, [-0.031492 1表 1裏 1目 1～1局] [-0.031489 2表 2裏 2目 1～1局] [-0.031421 4表 4裏 4目 1～1局] [-0.028962 1表 3裏 5目 3～6局]
0.53,0.0,0.4958235,-0.0041765,2000000.0,2.0,3.0,7.0,0.4958235,-0.0041765,2000000.0,2.0,3.0,7.0, [-0.022882 1表 1裏 1目 1～1局] [-0.012126 3表 4裏 5目 2～3局] [-0.011566 3表 5裏 6目 2～3局] [-0.004177 2表 3裏 7目 3～6局]
0.54,0.0,0.491561,-0.0084389999999999,2000000.0,3.0,5.0,6.0,0.491561,-0.0084389999999999,2000000.0,3.0,5.0,6.0, [-0.014620 1表 1裏 1目 1～1局] [-0.013894 2表 2裏 2目 1～1局] [-0.008801 3表 4裏 5目 2～3局] [-0.008439 3表 5裏 6目 2～3局]
0.55,0.0,0.4954135,-0.0045864999999999,2000000.0,3.0,3.0,3.0,0.461532,-0.038468,2000000.0,3.0,3.0,6.0, [-0.004688 1表 1裏 1目 1～1局] [-0.004586 3表 3裏 3目 1～1局]
0.56,0.0,0.497947,-0.002053,2000000.0,3.0,4.0,5.0,0.497947,-0.002053,2000000.0,3.0,4.0,5.0, [0.003608 1表 1裏 1目 1～1局] [0.003513 3表 3裏 3目 1～1局] [-0.002053 3表 4裏 5目 2～3局]
0.57,0.0,0.500832,0.000832,2000000.0,3.0,4.0,5.0,0.500832,0.000832,2000000.0,3.0,4.0,5.0, [0.013246 1表 1裏 1目 1～1局] [0.012846 2表 2裏 2目 1～1局] [0.000832 3表 4裏 5目 2～3局]
0.58,0.0,0.4800845,-0.0199154999999999,2000000.0,1.0,3.0,5.0,0.4800845,-0.0199154999999999,2000000.0,1.0,3.0,5.0, [0.022399 1表 1裏 1目 1～1局] [0.021635 2表 2裏 2目 1～1局] [-0.019915 1表 3裏 5目 3～6局]
0.59,0.0,0.480019,-0.019981,2000000.0,2.0,2.0,3.0,0.480019,-0.019981,2000000.0,2.0,2.0,3.0, [0.030570 1表 1裏 1目 1～1局] [-0.020533 1表 1裏 2目 2～3局] [-0.019981 2表 2裏 3目 2～3局]
0.6,0.0,0.4855085,-0.0144914999999999,2000000.0,1.0,1.0,2.0,0.4855085,-0.0144914999999999,2000000.0,1.0,1.0,2.0, [0.040053 1表 1裏 1目 1～1局] [-0.014491 1表 1裏 2目 2～3局]
0.61,0.0,0.489251,-0.010749,2000000.0,1.0,1.0,2.0,0.489251,-0.010749,2000000.0,1.0,1.0,2.0, [0.049490 1表 1裏 1目 1～1局] [-0.010749 1表 1裏 2目 2～3局]
0.62,0.0,0.495244,-0.0047559999999999,2000000.0,1.0,1.0,2.0,0.495244,-0.0047559999999999,2000000.0,1.0,1.0,2.0, [0.058207 1表 1裏 1目 1～1局] [-0.004756 1表 1裏 2目 2～3局]
0.63,0.0,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0, [0.066712 1表 1裏 1目 1～1局] [-0.000082 1表 1裏 2目 2～3局]
0.64,0.0,0.5048945,0.0048945,2000000.0,1.0,1.0,2.0,0.5048945,0.0048945,2000000.0,1.0,1.0,2.0, [0.075086 1表 1裏 1目 1～1局] [0.004895 1表 1裏 2目 2～3局]
0.65,0.0,0.510274,0.010274,2000000.0,1.0,1.0,2.0,0.510274,0.010274,2000000.0,1.0,1.0,2.0, [0.084924 1表 1裏 1目 1～1局] [0.010274 1表 1裏 2目 2～3局]
0.66,0.0,0.5150335,0.0150335,2000000.0,1.0,1.0,2.0,0.5150335,0.0150335,2000000.0,1.0,1.0,2.0, [0.093715 1表 1裏 1目 1～1局] [0.015034 1表 1裏 2目 2～3局]
0.67,0.0,0.5202265,0.0202265,2000000.0,1.0,1.0,2.0,0.5202265,0.0202265,2000000.0,1.0,1.0,2.0, [0.103289 1表 1裏 1目 1～1局] [0.020227 1表 1裏 2目 2～3局]
0.68,0.0,0.5267085,0.0267085,2000000.0,1.0,1.0,2.0,0.5267085,0.0267085,2000000.0,1.0,1.0,2.0, [0.111800 1表 1裏 1目 1～1局] [0.026709 1表 1裏 2目 2～3局]
0.69,0.0,0.531923,0.031923,2000000.0,1.0,1.0,2.0,0.531923,0.031923,2000000.0,1.0,1.0,2.0, [0.120533 1表 1裏 1目 1～1局] [0.031923 1表 1裏 2目 2～3局]
0.7,0.0,0.5379835,0.0379834999999999,2000000.0,1.0,1.0,2.0,0.5379835,0.0379834999999999,2000000.0,1.0,1.0,2.0, [0.129743 1表 1裏 1目 1～1局] [0.037983 1表 1裏 2目 2～3局]
0.71,0.0,0.5443025,0.0443025,2000000.0,1.0,1.0,2.0,0.5443025,0.0443025,2000000.0,1.0,1.0,2.0, [0.138782 1表 1裏 1目 1～1局] [0.044303 1表 1裏 2目 2～3局]
0.72,0.0,0.5497285,0.0497284999999999,2000000.0,1.0,1.0,2.0,0.5497285,0.0497284999999999,2000000.0,1.0,1.0,2.0, [0.148370 1表 1裏 1目 1～1局] [0.049728 1表 1裏 2目 2～3局]
0.73,0.0,0.5570575,0.0570574999999999,2000000.0,1.0,1.0,2.0,0.5570575,0.0570574999999999,2000000.0,1.0,1.0,2.0, [0.157054 1表 1裏 1目 1～1局] [0.057057 1表 1裏 2目 2～3局]
0.74,0.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0, [0.166009 1表 1裏 1目 1～1局] [0.063070 1表 1裏 2目 2～3局]
0.75,0.0,0.5698905,0.0698904999999999,2000000.0,1.0,1.0,2.0,0.5698905,0.0698904999999999,2000000.0,1.0,1.0,2.0, [0.174837 1表 1裏 1目 1～1局] [0.069890 1表 1裏 2目 2～3局]
0.76,0.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0, [0.184173 1表 1裏 1目 1～1局] [0.077592 1表 1裏 2目 2～3局]
0.77,0.0,0.584601,0.084601,2000000.0,1.0,1.0,2.0,0.584601,0.084601,2000000.0,1.0,1.0,2.0, [0.192599 1表 1裏 1目 1～1局] [0.084601 1表 1裏 2目 2～3局]
0.78,0.0,0.591726,0.0917259999999999,2000000.0,1.0,1.0,2.0,0.591726,0.0917259999999999,2000000.0,1.0,1.0,2.0, [0.202453 1表 1裏 1目 1～1局] [0.091726 1表 1裏 2目 2～3局]
0.79,0.0,0.599171,0.099171,2000000.0,1.0,1.0,2.0,0.599171,0.099171,2000000.0,1.0,1.0,2.0, [0.211144 1表 1裏 1目 1～1局] [0.099171 1表 1裏 2目 2～3局]
0.8,0.0,0.6073575,0.1073575,2000000.0,1.0,1.0,2.0,0.6073575,0.1073575,2000000.0,1.0,1.0,2.0, [0.220252 1表 1裏 1目 1～1局] [0.107357 1表 1裏 2目 2～3局]
0.81,0.0,0.6151515,0.1151514999999999,2000000.0,1.0,1.0,2.0,0.6151515,0.1151514999999999,2000000.0,1.0,1.0,2.0, [0.229086 1表 1裏 1目 1～1局] [0.115151 1表 1裏 2目 2～3局]
