p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.0,0.5,0.0,2000000,1,1,1,0.5,0.0,2000000,1,1,1,[0.000000 1表 1裏 1目 1～1局 2000000試]
0.51,0.0,0.51,0.010000000000000009,2000000,1,1,1,0.5149980000000001,0.014998000000000067,2000000,23,26,38,[0.010000 1表 1裏 1目 1～1局 2000000試]
0.52,0.0,0.52,0.020000000000000018,2000000,1,1,1,0.529984,0.02998400000000001,2000000,23,26,38,[0.020000 1表 1裏 1目 1～1局 2000000試]
0.53,0.0,0.49807819498834266,-0.0019218050116573404,2000000,4,5,36,0.544946,0.04494600000000004,2000000,19,25,38,[0.030000 1表 1裏 1目 1～1局 2000000試] [-0.029653 3表 4裏 21目 5～12局 2000000試] [-0.014777 4表 5裏 31目 6～14局 2000000試] [-0.001922 4表 5裏 36目 7～16局 2000000試]
0.54,0.0,0.49860464972915075,-0.0013953502708492493,2000000,3,4,21,0.37476432000000004,-0.12523567999999996,2000000,15,25,38,[0.040000 1表 1裏 1目 1～1局 2000000試] [-0.021557 3表 4裏 17目 4～10局 2000000試] [-0.001395 3表 4裏 21目 5～12局 2000000試]
0.55,0.0,0.5044045916529298,0.004404591652929835,2000000,3,4,17,0.013931233916552745,-0.48606876608344723,2000000,4,25,38,[0.050000 1表 1裏 1目 1～1局 2000000試] [-0.023044 2表 3裏 10目 3～8局 2000000試] [0.004405 3表 4裏 17目 4～10局 2000000試]
0.56,0.0,0.500364050694144,0.0003640506941440247,2000000,2,3,10,0.07046546986106883,-0.42953453013893117,2000000,6,26,38,[0.060000 1表 1裏 1目 1～1局 2000000試] [-0.038172 2表 3裏 7目 2～6局 2000000試] [0.000364 2表 3裏 10目 3～8局 2000000試]
0.57,0.0,0.5109308005177939,0.010930800517793937,2000000,3,4,37,0.604314,0.10431400000000002,2000000,22,24,38,[0.070000 1表 1裏 1目 1～1局 2000000試] [-0.017696 2表 3裏 7目 2～6局 2000000試] [-0.014588 2表 3裏 16目 5～13局 2000000試] [-0.013644 3表 4裏 34目 9～20局 2000000試] [0.010931 3表 4裏 37目 9～22局 2000000試]
0.58,0.0,0.5029050822399999,0.0029050822399998566,2000000,2,3,7,0.4409531199999999,-0.05904688000000008,2000000,15,25,38,[0.080000 1表 1裏 1目 1～1局 2000000試] [-0.059047 1表 2裏 3目 2～4局 2000000試] [0.002905 2表 3裏 7目 2～6局 2000000試]
0.59,0.0,0.5052027741737987,0.005202774173798663,2000000,2,3,13,0.45799516999999995,-0.04200483000000005,2000000,13,25,38,[0.090000 1表 1裏 1目 1～1局 2000000試] [-0.042005 1表 2裏 3目 2～4局 2000000試] [0.023591 2表 3裏 7目 2～6局 2000000試] [0.005203 2表 3裏 13目 4～11局 2000000試]
0.6,0.0,0.4900405910467153,-0.009959408953284676,2000000,2,3,35,0.15863039999999995,-0.34136960000000005,2000000,7,22,38,[0.100000 1表 1裏 1目 1～1局 2000000試] [-0.024800 1表 2裏 3目 2～4局 2000000試] [-0.017390 2表 3裏 11目 4～9局 2000000試] [-0.014145 2表 3裏 17目 6～14局 2000000試] [-0.012225 2表 3裏 23目 8～19局 2000000試] [-0.010920 2表 3裏 29目 10～24局 2000000試] [-0.009959 2表 3裏 35目 12～29局 2000000試]
0.61,0.0,0.5011637731652024,0.001163773165202442,2000000,2,3,33,0.49254876999999997,-0.007451230000000031,2000000,15,24,38,[0.110000 1表 1裏 1目 1～1局 2000000試] [-0.007451 1表 2裏 3目 2～4局 2000000試] [-0.007370 2表 3裏 27目 9～22局 2000000試] [0.001164 2表 3裏 33目 11～27局 2000000試]
0.62,0.0,0.4957191311790296,-0.004280868820970396,2000000,2,3,15,0.26567852127999997,-0.23432147872000003,2000000,8,23,38,[0.120000 1表 1裏 1目 1～1局 2000000試] [-0.115600 1表 2裏 2目 1～2局 2000000試] [0.010022 1表 2裏 3目 2～4局 2000000試] [-0.004281 2表 3裏 15目 5～12局 2000000試]
0.63,0.0,0.4989269913186992,-0.00107300868130078,2000000,3,5,28,0.3906734328,-0.1093265672,2000000,10,23,38,[0.130000 1表 1裏 1目 1～1局 2000000試] [-0.103100 1表 2裏 2目 1～2局 2000000試] [0.027599 1表 2裏 3目 2～4局 2000000試] [-0.013359 1表 2裏 5目 3～7局 2000000試] [-0.001073 3表 5裏 28目 6～15局 2000000試]
0.64,0.0,0.5093831213056,0.00938312130560004,2000000,1,2,5,0.704512,0.20451200000000003,2000000,23,23,38,[0.140000 1表 1裏 1目 1～1局 2000000試] [-0.090400 1表 2裏 2目 1～2局 2000000試] [0.045260 1表 2裏 3目 2～4局 2000000試] [0.009383 1表 2裏 5目 3～7局 2000000試]
0.65,0.0,0.5005027264803508,0.0005027264803507681,2000000,1,2,9,0.42841500000000005,-0.07158499999999995,2000000,11,21,38,[0.150000 1表 1裏 1目 1～1局 2000000試] [-0.077500 1表 2裏 2目 1～2局 2000000試] [0.062981 1表 2裏 3目 2～4局 2000000試] [0.032283 1表 2裏 5目 3～7局 2000000試] [0.013827 1表 2裏 7目 4～10局 2000000試] [0.000503 1表 2裏 9目 5～13局 2000000試]
0.66,0.0,0.49917104362760795,-0.0008289563723920534,2000000,1,2,23,0.2837696042375237,-0.21623039576247632,2000000,5,17,38,[0.160000 1表 1裏 1目 1～1局 2000000試] [-0.064400 1表 2裏 2目 1～2局 2000000試] [-0.052196 1表 2裏 4目 2～5局 2000000試] [-0.048081 1表 2裏 6目 3～8局 2000000試] [0.041061 1表 2裏 7目 4～10局 2000000試] [0.031382 1表 2裏 9目 5～13局 2000000試] [0.024088 1表 2裏 11目 6～16局 2000000試] [0.018242 1表 2裏 13目 7～19局 2000000試] [0.013359 1表 2裏 15目 8～22局 2000000試] [0.009158 1表 2裏 17目 9～25局 2000000試] [0.005465 1表 2裏 19目 10～28局 2000000試] [0.002163 1表 2裏 21目 11～31局 2000000試] [-0.000829 1表 2裏 23目 12～34局 2000000試]
0.67,0.0,0.4996577100431639,-0.00034228995683610597,2000000,1,2,22,0.7950369142,0.2950369142,2000000,14,18,38,[0.170000 1表 1裏 1目 1～1局 2000000試] [-0.051100 1表 2裏 2目 1～2局 2000000試] [-0.032494 1表 2裏 4目 2～5局 2000000試] [-0.023565 1表 2裏 6目 3～8局 2000000試] [-0.017882 1表 2裏 8目 4～11局 2000000試] [-0.013758 1表 2裏 10目 5～14局 2000000試] [-0.010531 1表 2裏 12目 6～17局 2000000試] [-0.007878 1表 2裏 14目 7～20局 2000000試] [-0.005624 1表 2裏 16目 8～23局 2000000試] [-0.003659 1表 2裏 18目 9～26局 2000000試] [-0.001914 1表 2裏 20目 10～29局 2000000試] [-0.000342 1表 2裏 22目 11～32局 2000000試]
0.68,0.0,0.5012976838967297,0.0012976838967296844,2000000,1,2,6,0.6162867200000001,0.11628672000000007,2000000,15,24,38,[0.180000 1表 1裏 1目 1～1局 2000000試] [-0.037600 1表 2裏 2目 1～2局 2000000試] [-0.012505 1表 2裏 4目 2～5局 2000000試] [0.001298 1表 2裏 6目 3～8局 2000000試]
