p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.5,0.0,0.5,0.0,2000000.0,1.0,1.0,1.0,0.5,0.0,2000000.0,1.0,1.0,1.0,[0.000000 1表 1裏 1目 1～1局]
0.51,0.0,0.51,0.01,2000000.0,1.0,1.0,1.0,0.3853661208847965,-0.11463387911520351,2000000.0,10.0,14.0,50.0,[0.010000 1表 1裏 1目 1～1局]
0.52,0.0,0.52,0.02,2000000.0,1.0,1.0,1.0,0.407834219413504,-0.092165780586496,2000000.0,10.0,14.0,50.0,[0.020000 1表 1裏 1目 1～1局]
0.53,0.0,0.4980781949883426,-0.0019218050116573,2000000.0,4.0,5.0,36.0,0.18629051604093302,-0.31370948395906695,2000000.0,6.0,12.0,50.0,[0.030000 1表 1裏 1目 1～1局] [-0.029653 3表 4裏 21目 6～12局] [-0.014777 4表 5裏 31目 7～14局] [-0.001922 4表 5裏 36目 8～16局]
0.54,0.0,0.4986046497291507,-0.0013953502708492,2000000.0,3.0,4.0,21.0,0.00026180720187726243,-0.49973819279812276,2000000.0,2.0,12.0,50.0,[0.040000 1表 1裏 1目 1～1局] [-0.021557 3表 4裏 17目 5～10局] [-0.001395 3表 4裏 21目 6～12局]
0.55,0.0,0.5044045916529298,0.0044045916529298,2000000.0,3.0,4.0,17.0,0.0003823794365569912,-0.499617620563443,2000000.0,2.0,11.0,50.0,[0.050000 1表 1裏 1目 1～1局] [-0.023044 2表 3裏 10目 4～8局] [0.004405 3表 4裏 17目 5～10局]
0.56,0.0,0.500364050694144,0.000364050694144,2000000.0,2.0,3.0,10.0,0.15017608010971495,-0.34982391989028505,2000000.0,6.0,13.0,50.0,[0.060000 1表 1裏 1目 1～1局] [-0.038172 2表 3裏 7目 3～6局] [0.000364 2表 3裏 10目 4～8局]
0.57,0.0,0.508019763215478,0.008019763215478037,2000000.0,3.0,4.0,49.0,0.12148101333762651,-0.3785189866623735,2000000.0,3.0,7.0,50.0,[0.070000 1表 1裏 1目 1～1局] [-0.017696 2表 3裏 7目 3～6局] [-0.014588 2表 3裏 16目 6～13局] [-0.013644 3表 4裏 34目 9～20局] [0.010931 3表 4裏 37目 10～22局] [0.008020 3表 4裏 49目 13～29局]
0.58,0.0,0.5029050822399999,0.0029050822399998,2000000.0,2.0,3.0,7.0,0.00112393240656272,-0.4988760675934373,2000000.0,2.0,12.0,50.0,[0.080000 1表 1裏 1目 1～1局] [-0.059047 1表 2裏 3目 2～4局] [0.002905 2表 3裏 7目 3～6局]
0.59,0.0,0.5000697711987205,6.977119872053628e-05,2000000.0,2.0,3.0,40.0,0.5000697711987205,6.977119872053628e-05,2000000.0,2.0,3.0,40.0,[0.090000 1表 1裏 1目 1～1局] [-0.042005 1表 2裏 3目 2～4局] [0.023591 2表 3裏 7目 3～6局] [0.005203 2表 3裏 13目 5～11局] [0.000070 2表 3裏 40目 14～33局]
0.6,0.0,0.4913848334023893,-0.00861516659761069,2000000.0,2.0,3.0,47.0,0.36,-0.14,2000000.0,28.0,49.0,49.0,[0.100000 1表 1裏 1目 1～1局] [-0.024800 1表 2裏 3目 2～4局] [-0.017390 2表 3裏 11目 4～9局] [-0.014145 2表 3裏 17目 6～14局] [-0.012225 2表 3裏 23目 8～19局] [-0.010920 2表 3裏 29目 10～24局] [-0.009959 2表 3裏 35目 12～29局] [-0.009215 2表 3裏 41目 14～34局] [-0.008615 2表 3裏 47目 16～39局]
0.61,0.0,0.5011637731652024,0.0011637731652024,2000000.0,2.0,3.0,33.0,0.6913462289528972,0.1913462289528972,2000000.0,8.0,9.0,50.0,[0.110000 1表 1裏 1目 1～1局] [-0.007451 1表 2裏 3目 2～4局] [-0.007370 2表 3裏 27目 9～22局] [0.001164 2表 3裏 33目 11～27局]
0.62,0.0,0.4957191311790296,-0.0042808688209703,2000000.0,2.0,3.0,15.0,0.6959097099231558,0.19590970992315582,2000000.0,4.0,5.0,50.0,[0.120000 1表 1裏 1目 1～1局] [-0.115600 1表 2裏 2目 1～2局] [0.010022 1表 2裏 3目 2～4局] [-0.004281 2表 3裏 15目 5～12局]
