p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.5,0.0,0.5,0.0,2000000,1,1,1,0.5,0.0,2000000,1,1,1,[0.000000 1表 1裏 1目 1～1局]
0.51,0.0,0.51,0.010000000000000009,2000000,1,1,1,0.36268242560999997,-0.13731757439000003,2000000,9,11,29,[0.010000 1表 1裏 1目 1～1局]
0.52,0.0,0.52,0.020000000000000018,2000000,1,1,1,0.38195881984,-0.11804118015999998,2000000,9,11,29,[0.020000 1表 1裏 1目 1～1局]
0.53,0.0,0.4703473088447342,-0.02965269115526581,2000000,3,4,21,0.27866456676055,-0.22133543323944999,2000000,7,11,29,[0.030000 1表 1裏 1目 1～1局] [-0.029653 3表 4裏 21目 6～12局]
0.54,0.0,0.49860464972915075,-0.0013953502708492493,2000000,3,4,21,0.08149081668026172,-0.4185091833197383,2000000,3,8,29,[0.040000 1表 1裏 1目 1～1局] [-0.021557 3表 4裏 17目 5～10局] [-0.001395 3表 4裏 21目 6～12局]
0.55,0.0,0.5044045916529298,0.004404591652929835,2000000,3,4,17,0.5044045916529298,0.004404591652929835,2000000,5,6,29,[0.050000 1表 1裏 1目 1～1局] [-0.023044 2表 3裏 10目 4～8局] [0.004405 3表 4裏 17目 5～10局]
0.56,0.0,0.500364050694144,0.0003640506941440247,2000000,2,3,10,0.00515017637601969,-0.49484982362398033,2000000,2,10,29,[0.060000 1表 1裏 1目 1～1局] [-0.038172 2表 3裏 7目 3～6局] [0.000364 2表 3裏 10目 4～8局]
0.57,0.0,0.48541161635717095,-0.01458838364282905,2000000,2,3,16,0.5238478462795964,0.023847846279596352,2000000,7,8,29,[0.070000 1表 1裏 1目 1～1局] [-0.017696 2表 3裏 7目 3～6局] [-0.014588 2表 3裏 16目 6～13局]
0.58,0.0,0.5029050822399999,0.0029050822399998566,2000000,2,3,7,0.13441677148982836,-0.36558322851017166,2000000,3,8,29,[0.080000 1表 1裏 1目 1～1局] [-0.059047 1表 2裏 3目 2～4局] [0.002905 2表 3裏 7目 3～6局]
0.59,0.0,0.5052027741737987,0.005202774173798663,2000000,2,3,13,8.957747676778135e-05,-0.4999104225232322,2000000,1,8,29,[0.090000 1表 1裏 1目 1～1局] [-0.042005 1表 2裏 3目 2～4局] [0.023591 2表 3裏 7目 3～6局] [0.005203 2表 3裏 13目 5～11局]
0.6,0.0,0.4877752526594112,-0.012224747340588815,2000000,2,3,23,0.21599999999999997,-0.28400000000000003,2000000,12,28,28,[0.100000 1表 1裏 1目 1～1局] [-0.024800 1表 2裏 3目 2～4局] [-0.017390 2表 3裏 11目 4～9局] [-0.014145 2表 3裏 17目 6～14局] [-0.012225 2表 3裏 23目 8～19局]
0.61,0.0,0.49262993492268387,-0.007370065077316135,2000000,2,3,27,0.7539773425774384,0.2539773425774384,2000000,6,7,29,[0.110000 1表 1裏 1目 1～1局] [-0.007451 1表 2裏 3目 2～4局] [-0.007370 2表 3裏 27目 9～22局]
0.62,0.0,0.4957191311790296,-0.004280868820970396,2000000,2,3,15,0.056800235584,-0.443199764416,2000000,5,28,28,[0.120000 1表 1裏 1目 1～1局] [-0.115600 1表 2裏 2目 1～2局] [0.010022 1表 2裏 3目 2～4局] [-0.004281 2表 3裏 15目 5～12局]
0.63,0.0,0.4989269913186992,-0.00107300868130078,2000000,3,5,28,0.15752961000000001,-0.34247039,2000000,7,28,28,[0.130000 1表 1裏 1目 1～1局] [-0.103100 1表 2裏 2目 1～2局] [0.027599 1表 2裏 3目 2～4局] [-0.013359 1表 2裏 5目 3～7局] [-0.001073 3表 5裏 28目 6～15局]
0.64,0.0,0.5093831213056,0.00938312130560004,2000000,1,2,5,0.4096,-0.09039999999999998,2000000,20,28,28,[0.140000 1表 1裏 1目 1～1局] [-0.090400 1表 2裏 2目 1～2局] [0.045260 1表 2裏 3目 2～4局] [0.009383 1表 2裏 5目 3～7局]
0.65,0.0,0.5005027264803508,0.0005027264803507681,2000000,1,2,9,0.71825,0.21825000000000006,2000000,18,26,28,[0.150000 1表 1裏 1目 1～1局] [-0.077500 1表 2裏 2目 1～2局] [0.062981 1表 2裏 3目 2～4局] [0.032283 1表 2裏 5目 3～7局] [0.013827 1表 2裏 7目 4～10局] [0.000503 1表 2裏 9目 5～13局]
0.66,0.0,0.49917104362760795,-0.0008289563723920534,2000000,1,2,23,0.58074192,0.08074192000000002,2000000,10,23,28,[0.160000 1表 1裏 1目 1～1局] [-0.064400 1表 2裏 2目 1～2局] [-0.052196 1表 2裏 4目 2～5局] [-0.048081 1表 2裏 6目 3～8局] [0.041061 1表 2裏 7目 4～10局] [0.031382 1表 2裏 9目 5～13局] [0.024088 1表 2裏 11目 6～16局] [0.018242 1表 2裏 13目 7～19局] [0.013359 1表 2裏 15目 8～22局] [0.009158 1表 2裏 17目 9～25局] [0.005465 1表 2裏 19目 10～28局] [0.002163 1表 2裏 21目 11～31局] [-0.000829 1表 2裏 23目 12～34局]
0.67,0.0,0.4996577100431639,-0.00034228995683610597,2000000,1,2,22,0.5985183700000001,0.09851837000000008,2000000,13,24,28,[0.170000 1表 1裏 1目 1～1局] [-0.051100 1表 2裏 2目 1～2局] [-0.032494 1表 2裏 4目 2～5局] [-0.023565 1表 2裏 6目 3～8局] [-0.017882 1表 2裏 8目 4～11局] [-0.013758 1表 2裏 10目 5～14局] [-0.010531 1表 2裏 12目 6～17局] [-0.007878 1表 2裏 14目 7～20局] [-0.005624 1表 2裏 16目 8～23局] [-0.003659 1表 2裏 18目 9～26局] [-0.001914 1表 2裏 20目 10～29局] [-0.000342 1表 2裏 22目 11～32局]
0.68,0.0,0.5012976838967297,0.0012976838967296844,2000000,1,2,6,0.07126712995276378,-0.4287328700472362,2000000,1,4,29,[0.180000 1表 1裏 1目 1～1局] [-0.037600 1表 2裏 2目 1～2局] [-0.012505 1表 2裏 4目 2～5局] [0.001298 1表 2裏 6目 3～8局]
0.69,0.0,0.49705518254687103,-0.0029448174531289673,2000000,2,5,26,0.4760999999999999,-0.023900000000000088,2000000,21,28,28,[0.190000 1表 1裏 1目 1～1局] [-0.023900 1表 2裏 2目 1～2局] [0.007744 1表 2裏 4目 2～5局] [-0.002945 2表 5裏 26目 6～18局]
0.7,0.0,0.49251577343499986,-0.0074842265650001405,2000000,2,5,17,0.48999999999999994,-0.010000000000000064,2000000,20,28,28,[0.200000 1表 1裏 1目 1～1局] [-0.010000 1表 2裏 2目 1～2局] [-0.007484 2表 5裏 17目 4～12局]
0.71,0.0,0.5041,0.0040999999999999925,2000000,1,2,2,0.30001606533337494,-0.19998393466662506,2000000,1,3,29,[0.210000 1表 1裏 1目 1～1局] [0.004100 1表 2裏 2目 1～2局]
0.72,0.0,0.4845153800455024,-0.015484619954497625,2000000,1,3,10,0.37324799999999997,-0.12675200000000003,2000000,12,28,28,[0.220000 1表 1裏 1目 1～1局] [0.018400 1表 2裏 2目 1～2局] [0.017098 1表 3裏 7目 3～9局] [-0.015485 1表 3裏 10目 4～13局]
0.73,0.0,0.49774121636901475,-0.0022587836309852505,2000000,1,3,13,0.8206659999999999,0.3206659999999999,2000000,21,27,28,[0.230000 1表 1裏 1目 1～1局] [0.032900 1表 2裏 2目 1～2局] [-0.012828 1表 3裏 5目 2～6局] [-0.002259 1表 3裏 13目 5～17局]
0.74,0.0,0.5002568101263052,0.00025681012630518474,2000000,1,3,25,0.832352,0.332352,2000000,20,26,28,[0.240000 1表 1裏 1目 1～1局] [0.047600 1表 2裏 2目 1～2局] [0.010372 1表 3裏 5目 2～6局] [-0.004220 1表 3裏 8目 3～10局] [0.000257 1表 3裏 25目 9～33局]
0.75,0.0,0.5133938489032143,0.013393848903214267,2000000,1,3,26,0.84375,0.34375,2000000,14,23,28,[0.250000 1表 1裏 1目 1～1局] [0.062500 1表 2裏 2目 1～2局] [0.033936 1表 3裏 5目 2～6局] [0.025593 1表 3裏 8目 3～10局] [0.021340 1表 3裏 11目 4～14局] [0.018669 1表 3裏 14目 5～18局] [0.016797 1表 3裏 17目 6～22局] [0.015393 1表 3裏 20目 7～26局] [0.014290 1表 3裏 23目 8～30局] [0.013394 1表 3裏 26目 9～34局]
0.76,0.0,0.49776158027189277,-0.0022384197281072327,2000000,1,3,12,0.854848,0.35484800000000005,2000000,25,25,28,[0.260000 1表 1裏 1目 1～1局] [0.077600 1表 2裏 2目 1～2局] [-0.061024 1表 3裏 3目 1～3局] [0.057816 1表 3裏 5目 2～6局] [-0.029812 1表 3裏 6目 2～7局] [-0.013435 1表 3裏 9目 3～11局] [-0.002238 1表 3裏 12目 4～15局]
0.77,0.0,0.4960452646118201,-0.00395473538817992,2000000,1,3,6,0.2706784157,-0.2293215843,2000000,6,28,28,[0.270000 1表 1裏 1目 1～1局] [0.092900 1表 2裏 2目 1～2局] [-0.043467 1表 3裏 3目 1～3局] [-0.003955 1表 3裏 6目 2～7局]
0.78,0.0,0.4950961813578474,-0.004903818642152613,2000000,1,4,17,0.7877563200000001,0.28775632000000007,2000000,11,27,28,[0.280000 1表 1裏 1目 1～1局] [0.108400 1表 2裏 2目 1～2局] [-0.025448 1表 3裏 3目 1～3局] [0.022463 1表 3裏 6目 2～7局] [-0.011357 1表 4裏 10目 3～12局] [-0.004904 1表 4裏 17目 5～21局]
0.79,0.0,0.495835243216808,-0.004164756783192003,2000000,1,4,18,0.7166814904000001,0.21668149040000007,2000000,9,27,28,[0.290000 1表 1裏 1目 1～1局] [0.124100 1表 2裏 2目 1～2局] [-0.006961 1表 3裏 3目 1～3局] [-0.004165 1表 4裏 18目 5～22局]
0.8,0.0,0.5004174538404867,0.00041745384048674783,2000000,1,4,27,0.8192000000000002,0.31920000000000015,2000000,11,25,28,[0.300000 1表 1裏 1目 1～1局] [0.140000 1表 2裏 2目 1～2局] [0.012000 1表 3裏 3目 1～3局] [0.003316 1表 4裏 7目 2～8局] [0.001652 1表 4裏 11目 3～13局] [0.001025 1表 4裏 15目 4～18局] [0.000714 1表 4裏 19目 5～23局] [0.000533 1表 4裏 23目 6～28局] [0.000417 1表 4裏 27目 7～33局]
0.81,0.0,0.49948232773973156,-0.0005176722602684425,2000000,1,4,16,0.9054180000000001,0.40541800000000006,2000000,25,26,28,[0.310000 1表 1裏 1目 1～1局] [0.156100 1表 2裏 2目 1～2局] [0.031441 1表 3裏 3目 1～3局] [-0.013760 1表 4裏 12目 3～14局] [-0.000518 1表 4裏 16目 4～19局]
0.82,0.0,0.49877036951181397,-0.0012296304881860287,2000000,1,4,8,0.9144639999999999,0.41446399999999994,2000000,18,26,28,[0.320000 1表 1裏 1目 1～1局] [0.172400 1表 2裏 2目 1～2局] [0.051368 1表 3裏 3目 1～3局] [-0.047878 1表 4裏 4目 1～4局] [-0.001230 1表 4裏 8目 2～9局]
0.83,0.0,0.5005499840892489,0.0005499840892488894,2000000,1,5,28,0.923126,0.423126,2000000,14,24,28,[0.330000 1表 1裏 1目 1～1局] [0.188900 1表 2裏 2目 1～2局] [0.071787 1表 3裏 3目 1～3局] [-0.025417 1表 4裏 4目 1～4局] [0.018108 1表 5裏 13目 3～15局] [0.010316 1表 5裏 18目 4～21局] [0.004823 1表 5裏 23目 5～27局] [0.000550 1表 5裏 28目 6～33局]
0.84,0.0,0.49787135999999993,-0.0021286400000000705,2000000,1,4,4,0.8772019199999999,0.37720191999999986,2000000,11,27,28,[0.340000 1表 1裏 1目 1～1局] [0.205600 1表 2裏 2目 1～2局] [0.092704 1表 3裏 3目 1～3局] [-0.002129 1表 4裏 4目 1～4局]
0.85,0.0,0.5048789871891218,0.004878987189121831,2000000,1,6,21,0.9392499999999999,0.4392499999999999,2000000,20,25,28,[0.350000 1表 1裏 1目 1～1局] [0.222500 1表 2裏 2目 1～2局] [0.114125 1表 3裏 3目 1～3局] [0.022006 1表 4裏 4目 1～4局] [-0.007814 1表 5裏 10目 2～11局] [0.004879 1表 6裏 21目 4～24局]
0.86,0.0,0.49656315479959023,-0.003436845200409766,2000000,1,6,23,0.8533327296,0.35333272959999995,2000000,8,25,28,[0.360000 1表 1裏 1目 1～1局] [0.239600 1表 2裏 2目 1～2局] [0.136056 1表 3裏 3目 1～3局] [0.047008 1表 4裏 4目 1～4局] [-0.029573 1表 5裏 5目 1～5局] [-0.016589 1表 6裏 11目 2～12局] [-0.008852 1表 6裏 17目 3～19局] [-0.003437 1表 6裏 23目 4～26局]
0.87,0.0,0.4984209207,-0.001579079300000008,2000000,1,5,5,0.953694,0.45369400000000004,2000000,20,26,28,[0.370000 1表 1裏 1目 1～1局] [0.256900 1表 2裏 2目 1～2局] [0.158503 1表 3裏 3目 1～3局] [0.072898 1表 4裏 4目 1～4局] [-0.001579 1表 5裏 5目 1～5局]
0.88,0.0,0.49826338633172984,-0.0017366136682701594,2000000,1,7,20,0.44760219142307023,-0.05239780857692977,2000000,2,25,28,[0.380000 1表 1裏 1目 1～1局] [0.274400 1表 2裏 2目 1～2局] [0.181472 1表 3裏 3目 1～3局] [0.099695 1表 4裏 4目 1～4局] [0.027732 1表 5裏 5目 1～5局] [0.026238 1表 6裏 12目 2～13局] [-0.014136 1表 7裏 13目 2～14局] [-0.001737 1表 7裏 20目 3～22局]
0.89,0.0,0.4991628668032757,-0.0008371331967242934,2000000,1,8,22,0.966362,0.46636200000000005,2000000,16,25,28,[0.390000 1表 1裏 1目 1～1局] [0.292100 1表 2裏 2目 1～2局] [0.204969 1表 3裏 3目 1～3局] [0.127422 1表 4裏 4目 1～4局] [0.058406 1表 5裏 5目 1～5局] [-0.003019 1表 6裏 6目 1～6局] [-0.000837 1表 8裏 22目 3～24局]
0.9,0.0,0.5105052356919841,0.010505235691984138,2000000,1,8,24,0.9477,0.4477,2000000,11,24,28,[0.400000 1表 1裏 1目 1～1局] [0.310000 1表 2裏 2目 1～2局] [0.229000 1表 3裏 3目 1～3局] [0.156100 1表 4裏 4目 1～4局] [0.090490 1表 5裏 5目 1～5局] [0.031441 1表 6裏 6目 1～6局] [-0.021703 1表 7裏 7目 1～7局] [0.014728 1表 8裏 15目 2～16局] [0.010505 1表 8裏 24目 3～26局]
0.91,0.0,0.508724582738282,0.008724582738282027,2000000,1,9,27,0.95703517,0.45703517000000005,2000000,10,25,28,[0.410000 1表 1裏 1目 1～1局] [0.328100 1表 2裏 2目 1～2局] [0.253571 1表 3裏 3目 1～3局] [0.185750 1表 4裏 4目 1～4局] [0.124032 1表 5裏 5目 1～5局] [0.067869 1表 6裏 6目 1～6局] [0.016761 1表 7裏 7目 1～7局] [0.009125 1表 9裏 17目 2～18局] [0.008725 1表 9裏 27目 3～29局]
