p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.0,0.5,0.0,200,1,1,1,0.5,0.0,200,1,1,1,[0.000000 1表 1裏 1目 1～1局 1試]
0.51,0.0,0.4956982133227452,-0.0043017866772547,200,12,13,287,0.32764797,-0.17235203,200,141,240,299,[0.010000 1表 1裏 1目 1～1局 1試] [-0.009416 11表 12裏 241目 20～42局 200試] [-0.006799 11表 12裏 253目 21～44局 200試] [-0.004302 12表 13裏 287目 22～46局 200試]
0.52,0.0,0.4984898835372067,-0.0015101164627932,200,8,9,208,0.34308352,-0.15691648000000002,200,139,240,299,[0.020000 1表 1裏 1目 1～1局 1試] [-0.016557 5表 6裏 55目 9～20局 200試] [-0.009016 6表 7裏 71目 10～22局 200試] [-0.002142 6表 7裏 78目 11～24局 200試] [-0.001510 8表 9裏 208目 23～49局 200試]
0.53,0.0,0.5000223242543498,2.232425434978147e-05,200,6,7,106,0.35879357,-0.14120643,200,141,240,299,[0.030000 1表 1裏 1目 1～1局 1試] [-0.029653 3表 4裏 21目 5～12局 200試] [-0.014777 4表 5裏 31目 6～14局 200試] [-0.001922 4表 5裏 36目 7～16局 200試] [0.000022 6表 7裏 106目 15～33局 200試]
0.54,0.0,0.4993348691014583,-0.0006651308985416,200,5,6,169,0.37476432000000004,-0.12523567999999996,200,132,240,299,[0.040000 1表 1裏 1目 1～1局 1試] [-0.021557 3表 4裏 17目 4～10局 200試] [-0.001395 3表 4裏 21目 5～12局 200試] [-0.000665 5表 6裏 169目 28～62局 200試]
0.55,0.0,0.5014158657703515,0.0014158657703514,200,5,6,246,0.25621750000000004,-0.24378249999999996,200,79,240,299,[0.050000 1表 1裏 1目 1～1局 1試] [-0.023044 2表 3裏 10目 3～8局 200試] [0.004405 3表 4裏 17目 4～10局 200試] [0.002476 4表 5裏 66目 13～30局 200試] [0.001907 4表 5裏 111目 22～50局 200試] [0.001608 4表 5裏 156目 31～70局 200試] [0.001416 5表 6裏 246目 41～90局 200試]
0.56,0.0,0.5000114388991501,1.1438899150117976e-05,200,4,5,185,0.4074291200000001,-0.09257087999999991,200,105,240,299,[0.060000 1表 1裏 1目 1～1局 1試] [-0.038172 2表 3裏 7目 2～6局 200試] [0.000364 2表 3裏 10目 3～8局 200試] [0.000045 3表 4裏 57目 14～33局 200試] [0.000020 4表 5裏 129目 26～58局 200試] [0.000011 4表 5裏 185目 37～83局 200試]
0.57,0.0,0.5002144916127232,0.0002144916127232,200,3,4,281,0.604314,0.10431400000000002,200,216,239,299,[0.070000 1表 1裏 1目 1～1局 1試] [-0.017696 2表 3裏 7目 2～6局 200試] [-0.014588 2表 3裏 16目 5～13局 200試] [-0.013644 3表 4裏 34目 9～20局 200試] [0.010931 3表 4裏 37目 9～22局 200試] [0.008020 3表 4裏 49目 12～29局 200試] [0.005852 3表 4裏 61目 15～36局 200試] [0.004124 3表 4裏 73目 18～43局 200試] [0.002683 3表 4裏 85目 21～50局 200試] [0.001445 3表 4裏 97目 24～57局 200試] [0.000355 3表 4裏 109目 27～64局 200試] [0.000214 3表 4裏 281目 70～164局 200試]
0.58,0.0,0.5007469214501866,0.0007469214501866,200,5,7,162,0.4409531199999999,-0.05904688000000008,200,111,240,299,[0.080000 1表 1裏 1目 1～1局 1試] [-0.059047 1表 2裏 3目 2～4局 200試] [0.002905 2表 3裏 7目 2～6局 200試] [-0.001716 3表 4裏 64目 16～37局 200試] [0.000747 5表 7裏 162目 23～56局 200試]
0.59,0.0,0.5000697711987205,6.977119872053628e-05,200,2,3,40,0.45799516999999995,-0.04200483000000005,200,123,240,299,[0.090000 1表 1裏 1目 1～1局 1試] [-0.042005 1表 2裏 3目 2～4局 200試] [0.023591 2表 3裏 7目 2～6局 200試] [0.005203 2表 3裏 13目 4～11局 200試] [0.000070 2表 3裏 40目 13～33局 200試]
