p,new_p,new_p_error,round_count,b_step,w_step,span,process
0.5,0.500283,0.0002830000000000332,2000000,1,1,1,[0.0003 1黒 1白 1目 1～1局]
0.51,0.510431,0.010430999999999968,2000000,1,1,1,[0.0104 1黒 1白 1目 1～1局]
0.52,0.5199295,0.019929500000000044,2000000,1,1,1,[0.0199 1黒 1白 1目 1～1局]
0.53,0.530489,0.03048899999999999,2000000,1,1,1,[0.0305 1黒 1白 1目 1～1局]
0.54,0.5400115,0.04001149999999998,2000000,1,1,1,[0.0400 1黒 1白 1目 1～1局]
0.55,0.5497165,0.04971650000000005,2000000,1,1,1,[0.0497 1黒 1白 1目 1～1局]
0.56,0.5599255,0.059925499999999965,2000000,1,1,1,[0.0599 1黒 1白 1目 1～1局]
0.57,0.5700315,0.07003150000000002,2000000,1,1,1,[0.0700 1黒 1白 1目 1～1局]
0.58,0.5793305,0.07933049999999997,2000000,1,1,1,[0.0793 1黒 1白 1目 1～1局]
0.59,0.5899585,0.08995850000000005,2000000,1,1,1,[0.0900 1黒 1白 1目 1～1局]
0.6,0.6001705,0.10017050000000005,2000000,1,1,1,[0.1002 1黒 1白 1目 1～1局]
0.61,0.6105335,0.11053349999999995,2000000,1,1,1,[0.1105 1黒 1白 1目 1～1局]
0.62,0.619763,0.11976299999999995,2000000,1,1,1,[0.1198 1黒 1白 1目 1～1局]
0.63,0.630007,0.13000699999999998,2000000,1,1,1,[0.1300 1黒 1白 1目 1～1局]
0.64,0.6399325,0.13993250000000002,2000000,1,1,1,[0.1399 1黒 1白 1目 1～1局]
0.65,0.650172,0.15017199999999997,2000000,1,1,1,[0.1502 1黒 1白 1目 1～1局]
0.66,0.6604755,0.1604755,2000000,1,1,1,[0.1605 1黒 1白 1目 1～1局]
0.67,0.669842,0.16984200000000005,2000000,1,1,1,[0.1698 1黒 1白 1目 1～1局]
0.68,0.680555,0.18055500000000002,2000000,1,1,1,[0.1806 1黒 1白 1目 1～1局]
0.69,0.690499,0.19049899999999997,2000000,1,1,1,[0.1905 1黒 1白 1目 1～1局]
0.7,0.6995225,0.19952250000000005,2000000,1,1,1,[0.1995 1黒 1白 1目 1～1局]
0.71,0.710384,0.21038400000000002,2000000,1,1,1,[0.2104 1黒 1白 1目 1～1局]
0.72,0.7200075,0.22000750000000002,2000000,1,1,1,[0.2200 1黒 1白 1目 1～1局]
0.73,0.729937,0.22993699999999995,2000000,1,1,1,[0.2299 1黒 1白 1目 1～1局]
0.74,0.740061,0.24006099999999997,2000000,1,1,1,[0.2401 1黒 1白 1目 1～1局]
0.75,0.749891,0.24989099999999997,2000000,1,1,1,[0.2499 1黒 1白 1目 1～1局]
0.76,0.759914,0.259914,2000000,1,1,1,[0.2599 1黒 1白 1目 1～1局]
0.77,0.7701185,0.27011850000000004,2000000,1,1,1,[0.2701 1黒 1白 1目 1～1局]
0.78,0.7796105,0.2796105,2000000,1,1,1,[0.2796 1黒 1白 1目 1～1局]
0.79,0.7899425,0.2899425,2000000,1,1,1,[0.2899 1黒 1白 1目 1～1局]
0.8,0.80003,0.30003,2000000,1,1,1,[0.3000 1黒 1白 1目 1～1局]
0.81,0.809968,0.309968,2000000,1,1,1,[0.3100 1黒 1白 1目 1～1局]
0.82,0.8202995,0.32029949999999996,2000000,1,1,1,[0.3203 1黒 1白 1目 1～1局]
0.83,0.8299235,0.32992350000000004,2000000,1,1,1,[0.3299 1黒 1白 1目 1～1局]
0.84,0.84015,0.34014999999999995,2000000,1,1,1,[0.3401 1黒 1白 1目 1～1局]
0.85,0.8494525,0.34945250000000005,2000000,1,1,1,[0.3495 1黒 1白 1目 1～1局]
0.86,0.8600055,0.3600055,2000000,1,1,1,[0.3600 1黒 1白 1目 1～1局]
0.87,0.8698585,0.3698585,2000000,1,1,1,[0.3699 1黒 1白 1目 1～1局]
0.88,0.879758,0.37975800000000004,2000000,1,1,1,[0.3798 1黒 1白 1目 1～1局]
0.89,0.8900425,0.39004249999999996,2000000,1,1,1,[0.3900 1黒 1白 1目 1～1局]
0.9,0.900004,0.400004,2000000,1,1,1,[0.4000 1黒 1白 1目 1～1局]
0.91,0.9102705,0.4102705,2000000,1,1,1,[0.4103 1黒 1白 1目 1～1局]
0.92,0.9200975,0.4200975,2000000,1,1,1,[0.4201 1黒 1白 1目 1～1局]
0.93,0.9304085,0.43040849999999997,2000000,1,1,1,[0.4304 1黒 1白 1目 1～1局]
0.94,0.0,0.51,2000000,0,1,1,
0.95,0.0,0.51,2000000,0,1,1,
0.96,0.0,0.51,2000000,0,1,1,
0.97,0.0,0.51,2000000,0,1,1,
0.98,0.0,0.51,2000000,0,1,1,
0.99,0.0,0.51,2000000,0,1,1,
