p,best_p,best_p_error,best_round_count,best_b_step,best_w_step,best_span,latest_p,latest_p_error,latest_round_count,latest_b_step,latest_w_step,latest_span,process
0.5,0.4999735,-2.649999999998487e-05,2000000,3,3,3,0.4999735,-2.649999999998487e-05,2000000,3,3,3,[-0.000472 1黒 1白 1目 1～1局] [-0.000434 1黒 1白 2目 2～3局] [0.000103 2黒 2白 2目 1～1局] [-0.000026 3黒 3白 3目 1～1局]
0.51,0.5096435,0.009643500000000027,2000000,4,4,4,0.5096435,0.009643500000000027,2000000,5,7,7,[0.010135 1黒 1白 1目 1～1局] [0.010037 2黒 2白 2目 1～1局] [0.009644 4黒 4白 4目 1～1局]
0.52,0.5194355,0.01943550000000005,2000000,5,5,5,0.5194355,0.01943550000000005,2000000,5,5,5,[0.019990 1黒 1白 1目 1～1局] [0.019832 2黒 2白 2目 1～1局] [0.019725 3黒 3白 3目 1～1局] [0.019671 4黒 4白 4目 1～1局] [0.019436 5黒 5白 5目 1～1局]
0.53,0.52969,0.029689999999999994,2000000,6,6,6,0.52969,0.029689999999999994,2000000,2,2,8,[0.030231 1黒 1白 1目 1～1局] [0.030106 3黒 3白 3目 1～1局] [0.029820 5黒 5白 5目 1～1局] [0.029690 6黒 6白 6目 1～1局]
0.54,0.5394615,0.03946150000000004,2000000,2,2,2,0.5394615,0.03946150000000004,2000000,3,5,8,[0.040328 1黒 1白 1目 1～1局] [0.039462 2黒 2白 2目 1～1局]
0.55,0.5496915,0.0496915,2000000,5,5,5,0.5496915,0.0496915,2000000,3,5,8,[0.049694 1黒 1白 1目 1～1局] [0.049691 5黒 5白 5目 1～1局]
0.56,0.461804,-0.03819600000000001,2000000,2,3,7,0.461804,-0.03819600000000001,2000000,2,3,7,[0.060096 1黒 1白 1目 1～1局] [0.059916 2黒 2白 2目 1～1局] [0.059751 3黒 3白 3目 1～1局] [-0.038196 2黒 3白 7目 3～6局]
0.57,0.4821705,-0.017829499999999998,2000000,2,3,7,0.4821705,-0.017829499999999998,2000000,2,4,8,[0.070317 1黒 1白 1目 1～1局] [0.069720 2黒 2白 2目 1～1局] [-0.017829 2黒 3白 7目 3～6局]
0.58,0.5028855,0.0028854999999999853,2000000,2,3,7,0.5028855,0.0028854999999999853,2000000,2,3,7,[0.079824 1黒 1白 1目 1～1局] [0.079657 2黒 2白 2目 1～1局] [-0.058519 1黒 2白 3目 2～4局] [0.002885 2黒 3白 7目 3～6局]
0.59,0.458772,-0.04122799999999999,2000000,2,4,5,0.458772,-0.04122799999999999,2000000,2,4,5,[0.090136 1黒 1白 1目 1～1局] [0.089399 2黒 2白 2目 1～1局] [-0.042234 1黒 2白 3目 2～4局] [-0.041668 2黒 3白 5目 2～4局] [-0.041228 2黒 4白 5目 2～4局]
0.6,0.4756845,-0.02431549999999999,2000000,2,5,6,0.4756845,-0.02431549999999999,2000000,2,5,6,[0.100673 1黒 1白 1目 1～1局] [0.099351 2黒 2白 2目 1～1局] [-0.024775 1黒 2白 3目 2～4局] [-0.024468 2黒 4白 5目 2～4局] [-0.024315 2黒 5白 6目 2～4局]
0.61,0.492723,-0.007276999999999978,2000000,2,4,6,0.492723,-0.007276999999999978,2000000,2,4,6,[0.109803 1黒 1白 1目 1～1局] [-0.007794 1黒 2白 3目 2～4局] [-0.007632 2黒 4白 5目 2～4局] [-0.007510 2黒 3白 6目 2～4局] [-0.007277 2黒 4白 6目 2～4局]
0.62,0.5100455,0.01004550000000004,2000000,2,4,5,0.5100455,0.01004550000000004,2000000,2,4,5,[0.119520 1黒 1白 1目 1～1局] [-0.115653 1黒 2白 2目 1～2局] [0.010628 1黒 2白 3目 2～4局] [0.010254 2黒 3白 5目 2～4局] [0.010046 2黒 4白 5目 2～4局]
0.63,0.4860125,-0.013987499999999986,2000000,1,2,5,0.4860125,-0.013987499999999986,2000000,3,6,6,[0.130279 1黒 1白 1目 1～1局] [-0.103179 1黒 2白 2目 1～2局] [0.027330 1黒 2白 3目 2～4局] [-0.013987 1黒 2白 5目 3～7局]
0.64,0.5090855,0.009085499999999969,2000000,1,2,5,0.5090855,0.009085499999999969,2000000,3,6,6,[0.139831 1黒 1白 1目 1～1局] [-0.090364 1黒 2白 2目 1～2局] [0.045223 1黒 2白 3目 2～4局] [0.009085 1黒 2白 5目 3～7局]
0.65,0.532152,0.03215199999999996,2000000,1,2,5,0.532152,0.03215199999999996,2000000,3,6,6,[0.150222 1黒 1白 1目 1～1局] [-0.077551 1黒 2白 2目 1～2局] [0.062825 1黒 2白 3目 2～4局] [0.032152 1黒 2白 5目 3～7局]
0.66,0.448141,-0.05185899999999999,2000000,1,3,4,0.448141,-0.05185899999999999,2000000,1,3,4,[0.159920 1黒 1白 1目 1～1局] [-0.064721 1黒 2白 2目 1～2局] [-0.064464 2黒 3白 3目 1～2局] [-0.052392 1黒 2白 4目 2～5局] [-0.051859 1黒 3白 4目 2～5局]
0.67,0.475975,-0.02402500000000002,2000000,1,2,6,0.475975,-0.02402500000000002,2000000,1,2,6,[0.170386 1黒 1白 1目 1～1局] [-0.050710 1黒 2白 2目 1～2局] [-0.032898 1黒 2白 4目 2～5局] [-0.032434 1黒 3白 4目 2～5局] [-0.024025 1黒 2白 6目 3～8局]
0.68,0.5016635,0.00166350000000004,2000000,1,2,6,0.5016635,0.00166350000000004,2000000,1,2,6,[0.180417 1黒 1白 1目 1～1局] [-0.037643 1黒 2白 2目 1～2局] [-0.037587 2黒 3白 3目 1～2局] [-0.012370 1黒 2白 4目 2～5局] [0.001664 1黒 2白 6目 3～8局]
0.69,0.50771,0.007709999999999995,2000000,1,3,4,0.50771,0.007709999999999995,2000000,4,4,6,[0.190440 1黒 1白 1目 1～1局] [-0.023086 1黒 2白 2目 1～2局] [0.008006 1黒 2白 4目 2～5局] [0.007710 1黒 3白 4目 2～5局]
0.7,0.490319,-0.009680999999999995,2000000,5,7,7,0.490319,-0.009680999999999995,2000000,5,7,7,[0.199477 1黒 1白 1目 1～1局] [-0.010016 1黒 2白 2目 1～2局] [-0.009989 4黒 5白 5目 1～2局] [-0.009700 3黒 6白 6目 1～2局] [-0.009681 5黒 7白 7目 1～2局]
0.71,0.5039395,0.003939499999999985,2000000,2,4,4,0.5039395,0.003939499999999985,2000000,4,5,6,[0.210110 1黒 1白 1目 1～1局] [0.004455 1黒 2白 2目 1～2局] [0.004357 2黒 3白 3目 1～2局] [0.003939 2黒 4白 4目 1～2局]
0.72,0.517092,0.017091999999999996,2000000,1,3,7,0.517092,0.017091999999999996,2000000,1,3,7,[0.220315 1黒 1白 1目 1～1局] [0.017971 1黒 2白 2目 1～2局] [0.017840 2黒 3白 3目 1～2局] [0.017092 1黒 3白 7目 3～9局]
0.73,0.4872715,-0.012728499999999976,2000000,1,3,5,0.4872715,-0.012728499999999976,2000000,1,3,5,[0.230103 1黒 1白 1目 1～1局] [0.033455 1黒 2白 2目 1～2局] [0.032524 2黒 3白 3目 1～2局] [-0.012728 1黒 3白 5目 2～6局]
0.74,0.51001,0.010009999999999963,2000000,1,3,5,0.51001,0.010009999999999963,2000000,1,3,5,[0.239790 1黒 1白 1目 1～1局] [0.048197 1黒 2白 2目 1～2局] [0.046914 2黒 3白 3目 1～2局] [0.010010 1黒 3白 5目 2～6局]
0.75,0.533619,0.033618999999999954,2000000,1,3,5,0.533619,0.033618999999999954,2000000,1,3,5,[0.249715 1黒 1白 1目 1～1局] [0.062745 1黒 2白 2目 1～2局] [0.062071 2黒 3白 3目 1～2局] [0.033619 1黒 3白 5目 2～6局]
0.76,0.557705,0.057705000000000006,2000000,1,3,5,0.557705,0.057705000000000006,2000000,1,3,5,[0.260296 1黒 1白 1目 1～1局] [0.077240 1黒 2白 2目 1～2局] [-0.061157 1黒 3白 3目 1～3局] [0.057705 1黒 3白 5目 2～6局]
0.77,0.495898,-0.0041019999999999945,2000000,1,3,6,0.495898,-0.0041019999999999945,2000000,1,3,6,[0.270066 1黒 1白 1目 1～1局] [0.093125 1黒 2白 2目 1～2局] [-0.043884 1黒 3白 3目 1～3局] [-0.004102 1黒 3白 6目 2～7局]
0.78,0.5226045,0.022604500000000027,2000000,1,3,6,0.5226045,0.022604500000000027,2000000,1,3,6,[0.280011 1黒 1白 1目 1～1局] [0.108301 1黒 2白 2目 1～2局] [-0.025016 1黒 3白 3目 1～3局] [0.022605 1黒 3白 6目 2～7局]
0.79,0.4932655,-0.006734499999999977,2000000,2,5,5,0.4932655,-0.006734499999999977,2000000,2,5,5,[0.290382 1黒 1白 1目 1～1局] [0.124178 1黒 2白 2目 1～2局] [-0.006866 1黒 3白 3目 1～3局] [-0.006734 2黒 5白 5目 1～3局]
0.8,0.512032,0.012032000000000043,2000000,2,5,5,0.512032,0.012032000000000043,2000000,2,5,5,[0.300482 1黒 1白 1目 1～1局] [0.139196 1黒 2白 2目 1～2局] [0.012497 1黒 3白 3目 1～3局] [0.012032 2黒 5白 5目 1～3局]
0.81,0.531191,0.03119099999999997,2000000,1,3,3,0.531191,0.03119099999999997,2000000,1,3,6,[0.309664 1黒 1白 1目 1～1局] [0.156606 1黒 2白 2目 1～2局] [0.031191 1黒 3白 3目 1～3局]
