p,best_p,best_p_error,best_number_of_series,p_time,q_time,span,number_of_longest_time,process
0.5,0.4997725,0.0002274999999999,2000000,1.0,1,1.0,1,[0.0002  1本  1表  1裏]
0.51,0.4932875,0.0067125,2000000,23.0,22,506.0,44,[0.0100  1本  1表  1裏] [0.0094 最長対局数42 22表 21裏] [0.0067 最長対局数44 23表 22裏]
0.52,0.4974865,0.0025135,2000000,13.0,12,156.0,24,[0.0202  1本  1表  1裏] [0.0169 20本 11表 10裏] [0.0086 22本 12表 11裏] [0.0025 最長対局数24 13表 12裏]
0.53,0.4980465,0.0019534999999999,2000000,9.0,8,72.0,16,[0.0300  1本  1表  1裏] [0.0149 14本  8表  7裏] [0.0020 16本  9表  8裏]
0.54,0.498508,0.0014919999999999,2000000,7.0,6,42.0,12,[0.0397  1本  1表  1裏] [0.0217 10本  6表  5裏] [0.0015 12本  7表  6裏]
0.55,0.5044735,0.0044735,2000000,6.0,5,30.0,10,[0.0497  1本  1表  1裏] [0.0227  8本  5表  4裏] [0.0045 10本  6表  5裏]
0.56,0.500312,0.0003119999999999,2000000,5.0,4,20.0,8,[0.0597  1本  1表  1裏] [0.0384  6本  4表  3裏] [0.0003  8本  5表  4裏]
0.57,0.5060765,0.0060765,2000000,21.0,16,336.0,36,[0.0695  1本  1表  1裏] [0.0181  6本  4表  3裏] [0.0151 13本  8表  6裏] [0.0108 22本 13表 10裏] [0.0105 最長対局数22 13表 10裏] [0.0077 最長対局数29 17表 13裏] [0.0061 最長対局数36 21表 16裏]
0.58,0.50282,0.00282,2000000,4.0,3,12.0,6,[0.0797  1本  1表  1裏] [0.0592  4本  3表  2裏] [0.0028  6本  4表  3裏]
0.59,0.5054245,0.0054245,2000000,7.0,5,35.0,11,[0.0903  1本  1表  1裏] [0.0426  4本  3表  2裏] [0.0234  6本  4表  3裏] [0.0054 11本  7表  5裏]
0.6,0.4929525,0.007047499999999984,2000000,33.0,22,66.0,54,[0.0999  1本  1表  1裏] [0.0245  4本  3表  2裏] [0.0169  9本  6表  4裏] [0.0147 14本  9表  6裏] [0.0116 19本 12表  8裏] [0.0104 24本 15表 10裏] [0.0091 最長対局数34 21表 14裏] [0.0078 最長対局数44 27表 18裏] [0.0070 最長対局数54 33表 22裏]
0.61,0.49274,0.0072599999999999,2000000,3.0,2,6.0,4,[0.1102  1本  1表  1裏] [0.0073  4本  3表  2裏]
0.62,0.4960225,0.0039775,2000000,8.0,5,40.0,12,[0.1197  1本  1表  1裏] [0.1157  2本  2表  1裏] [0.0096  4本  3表  2裏] [0.0040 最長対局数12  8表  5裏]
0.63,0.4989005,0.0010994999999999,2000000,10.0,6,30.0,15,[0.1299  1本  1表  1裏] [0.1027  2本  2表  1裏] [0.0281  4本  3表  2裏] [0.0136  7本  5表  3裏] [0.0131  7本  5表  3裏] [0.0011 15本 10表  6裏]
0.64,0.4975105,0.0024894999999999,2000000,14.0,8,56.0,21,[0.1396  1本  1表  1裏] [0.0907  2本  2表  1裏] [0.0453  4本  3表  2裏] [0.0094  7本  5表  3裏] [0.0025 最長対局数21 14表  8裏]
0.65,0.500702,0.0007019999999999,2000000,9.0,5,45.0,13,[0.1499  1本  1表  1裏] [0.0780  2本  2表  1裏] [0.0632  4本  3表  2裏] [0.0323  7本  5表  3裏] [0.0135 10本  7表  4裏] [0.0007 13本  9表  5裏]
0.66,0.505946,0.005946,2000000,19.0,10,190.0,28,[0.1597  1本  1表  1裏] [0.0640  2本  2表  1裏] [0.0522  5本  4表  2裏] [0.0414 10本  7表  4裏] [0.0316 13本  9表  5裏] [0.0241 16本 11表  6裏] [0.0190 19本 13表  7裏] [0.0133 22本 15表  8裏] [0.0090 25本 17表  9裏] [0.0059 最長対局数28 19表 10裏]
0.67,0.494274,0.005726000000000009,2000000,16.0,8,16.0,23,[0.1701  1本  1表  1裏] [0.0513  2本  2表  1裏] [0.0326  5本  4表  2裏] [0.0241  8本  6表  3裏] [0.0175 11本  8表  4裏] [0.0140 14本 10表  5裏] [0.0108 17本 12表  6裏] [0.0101 最長対局数17 12表  6裏] [0.0078 最長対局数20 14表  7裏] [0.0057 最長対局数23 16表  8裏]
0.68,0.5017265,0.0017264999999999,2000000,6.0,3,6.0,8,[0.1796  1本  1表  1裏] [0.0376  2本  2表  1裏] [0.0128  5本  4表  2裏] [0.0121  5本  4表  2裏] [0.0017  8本  6表  3裏]
0.69,0.496847,0.003153000000000017,2000000,13.0,6,78.0,18,[0.1901  1本  1表  1裏] [0.0237  2本  2表  1裏] [0.0082  5本  4表  2裏] [0.0032 最長対局数18 13表  6裏]
0.7,0.4926435,0.0073564999999999,2000000,9.0,4,36.0,12,[0.2004  1本  1表  1裏] [0.0102  2本  2表  1裏] [0.0074 最長対局数12  9表  4裏]
0.71,0.50437,0.0043699999999999,2000000,2.0,1,2.0,2,[0.2100  1本  1表  1裏] [0.0044  2本  2表  1裏]
0.72,0.4954885,0.0045115,2000000,15.0,6,30.0,20,[0.2200  1本  1表  1裏] [0.0182  2本  2表  1裏] [0.0156 13本 10表  4裏] [0.0045 20本 15表  6裏]
0.73,0.4977745,0.0022254999999999,2000000,13.0,5,65.0,17,[0.2302  1本  1表  1裏] [0.0327  2本  2表  1裏] [0.0133  6本  5表  2裏] [0.0022 17本 13表  5裏]
0.74,0.495533,0.0044669999999999,2000000,8.0,3,24.0,10,[0.2406  1本  1表  1裏] [0.0482  2本  2表  1裏] [0.0105  6本  5表  2裏] [0.0045 最長対局数10  8表  3裏]
0.75,0.5078445,0.0078445,2000000,,20,,78,[0.2504  1本  1表  1裏] [0.0630  2本  2表  1裏] [0.0345  6本  5表  2裏] [0.0338  6本  5表  2裏] [0.0252 10本  8表  3裏] [0.0211 14本 11表  4裏] [0.0188 18本 14表  5裏] [0.0181 18本 14表  5裏] [0.0163 22本 17表  6裏] [0.0151 26本 20表  7裏] [0.0127 38本 29表 10裏] [0.0115 42本 32表 11裏] [0.0100 最長対局数54 41表 14裏] [0.0089 最長対局数66 50表 17裏] [0.0078 最長対局数78 59表 20裏]
0.76,0.498208,0.001792,2000000,,4,,15,[0.2602  1本  1表  1裏] [0.0774  2本  2表  1裏] [0.0613  3本  3表  1裏] [0.0568  6本  5表  2裏] [0.0300  7本  6表  2裏] [0.0127 11本  9表  3裏] [0.0018 15本 12表  4裏]
0.77,0.495694,0.0043059999999999,2000000,,2,,7,[0.2699  1本  1表  1裏] [0.0931  2本  2表  1裏] [0.0430  3本  3表  1裏] [0.0043  7本  6表  2裏]
0.78,0.495617,0.004383,2000000,,5,,21,[0.2796  1本  1表  1裏] [0.1088  2本  2表  1裏] [0.0249  3本  3表  1裏] [0.0222  7本  6表  2裏] [0.0110 12本 10表  3裏] [0.0044 最長対局数21 17表  5裏]
0.79,0.4931075,0.0068925,2000000,,1,,3,[0.2895  1本  1表  1裏] [0.1241  2本  2表  1裏] [0.0069  3本  3表  1裏]
0.8,0.5032195,0.0032195,2000000,,2,,8,[0.2994  1本  1表  1裏] [0.1399  2本  2表  1裏] [0.0128  3本  3表  1裏] [0.0120  3本  3表  1裏] [0.0032 最長対局数 8  7表  2裏]
0.81,0.500009,9.000000000036756e-06,2000000,,4,,19,[0.3103  1本  1表  1裏] [0.1567  2本  2表  1裏] [0.0313  3本  3表  1裏] [0.0138 14本 12表  3裏] [0.0000 19本 16表  4裏]
0.82,0.498367,0.0016329999999999,2000000,,2,,9,[0.3201  1本  1表  1裏] [0.1718  2本  2表  1裏] [0.0512  3本  3表  1裏] [0.0016  9本  8表  2裏]
0.83,0.505257,0.0052569999999999,2000000,,5,,27,[0.3301  1本  1表  1裏] [0.1889  2本  2表  1裏] [0.0716  3本  3表  1裏] [0.0256  4本  4表  1裏] [0.0182 15本 13表  3裏] [0.0105 21本 18表  4裏] [0.0053 最長対局数27 23表  5裏]
0.84,0.497653,0.0023469999999999,2000000,,1,,4,[0.3400  1本  1表  1裏] [0.2059  2本  2表  1裏] [0.0928  3本  3表  1裏] [0.0023  4本  4表  1裏]
0.85,0.4919395,0.0080605,2000000,,2,,11,[0.3497  1本  1表  1裏] [0.2223  2本  2表  1裏] [0.1138  3本  3表  1裏] [0.0220  4本  4表  1裏] [0.0081 11本 10表  2裏]
