p,new_p,new_p_error,max_bout_count,round_count,w_point,process
0.5,0.4997725,0.0002274999999999916,1,2000000,1,[0.0002  1本  1黒  1白]
0.51,0.510031,0.010031000000000012,1,2000000,1,[0.0100  1本  1黒  1白]
0.52,0.520225,0.02022500000000005,1,2000000,1,[0.0202  1本  1黒  1白]
0.53,0.530041,0.030040999999999984,1,2000000,1,[0.0300  1本  1黒  1白]
0.54,0.5396705,0.03967050000000005,1,2000000,1,[0.0397  1本  1黒  1白]
0.55,0.549669,0.04966899999999996,1,2000000,1,[0.0497  1本  1黒  1白]
0.56,0.559744,0.05974400000000002,1,2000000,1,[0.0597  1本  1黒  1白]
0.57,0.5695455,0.06954550000000004,1,2000000,1,[0.0695  1本  1黒  1白]
0.58,0.579728,0.07972800000000002,1,2000000,1,[0.0797  1本  1黒  1白]
0.59,0.590304,0.09030400000000005,1,2000000,1,[0.0903  1本  1黒  1白]
0.6,0.599904,0.09990399999999999,1,2000000,1,[0.0999  1本  1黒  1白]
0.61,0.610209,0.110209,1,2000000,1,[0.1102  1本  1黒  1白]
0.62,0.619714,0.11971399999999999,1,2000000,1,[0.1197  1本  1黒  1白]
0.63,0.6299155,0.12991549999999996,1,2000000,1,[0.1299  1本  1黒  1白]
0.64,0.6396295,0.13962949999999996,1,2000000,1,[0.1396  1本  1黒  1白]
0.65,0.6499175,0.14991750000000004,1,2000000,1,[0.1499  1本  1黒  1白]
0.66,0.659694,0.159694,1,2000000,1,[0.1597  1本  1黒  1白]
0.67,0.670073,0.17007300000000003,1,2000000,1,[0.1701  1本  1黒  1白]
0.68,0.6796125,0.17961249999999995,1,2000000,1,[0.1796  1本  1黒  1白]
0.69,0.6900865,0.19008650000000005,1,2000000,1,[0.1901  1本  1黒  1白]
0.7,0.7003735,0.20037349999999998,1,2000000,1,[0.2004  1本  1黒  1白]
0.71,0.709969,0.20996899999999996,1,2000000,1,[0.2100  1本  1黒  1白]
0.72,0.720049,0.22004900000000005,1,2000000,1,[0.2200  1本  1黒  1白]
0.73,0.730227,0.23022699999999996,1,2000000,1,[0.2302  1本  1黒  1白]
0.74,0.7405855,0.2405855,1,2000000,1,[0.2406  1本  1黒  1白]
0.75,0.750421,0.250421,1,2000000,1,[0.2504  1本  1黒  1白]
0.76,0.7601755,0.2601755,1,2000000,1,[0.2602  1本  1黒  1白]
0.77,0.769907,0.269907,1,2000000,1,[0.2699  1本  1黒  1白]
0.78,0.779643,0.279643,1,2000000,1,[0.2796  1本  1黒  1白]
0.79,0.7894845,0.28948450000000003,1,2000000,1,[0.2895  1本  1黒  1白]
0.8,0.7993725,0.29937250000000004,1,2000000,1,[0.2994  1本  1黒  1白]
0.81,0.810268,0.310268,1,2000000,1,[0.3103  1本  1黒  1白]
0.82,0.8201095,0.32010950000000005,1,2000000,1,[0.3201  1本  1黒  1白]
0.83,0.830091,0.330091,1,2000000,1,[0.3301  1本  1黒  1白]
0.84,0.839967,0.339967,1,2000000,1,[0.3400  1本  1黒  1白]
0.85,0.8497415,0.34974150000000004,1,2000000,1,[0.3497  1本  1黒  1白]
0.86,0.860243,0.360243,1,2000000,1,[0.3602  1本  1黒  1白]
0.87,0.8698385,0.36983849999999996,1,2000000,1,[0.3698  1本  1黒  1白]
0.88,0.879661,0.379661,1,2000000,1,[0.3797  1本  1黒  1白]
0.89,0.890116,0.390116,1,2000000,1,[0.3901  1本  1黒  1白]
0.9,0.900165,0.400165,1,2000000,1,[0.4002  1本  1黒  1白]
0.91,0.9098205,0.40982050000000003,1,2000000,1,[0.4098  1本  1黒  1白]
0.92,0.920061,0.420061,1,2000000,1,[0.4201  1本  1黒  1白]
0.93,0.930003,0.430003,1,2000000,1,[0.4300  1本  1黒  1白]
0.94,0.9400475,0.44004750000000004,1,2000000,1,[0.4400  1本  1黒  1白]
0.95,0.950268,0.450268,1,2000000,1,[0.4503  1本  1黒  1白]
0.96,0.9215845,0.42158450000000003,2,2000000,1,[0.4216  2本  2黒  1白]
0.97,0.9409355,0.44093550000000004,2,2000000,1,[0.4409  2本  2黒  1白]
0.98,0.94135,0.44135,3,2000000,1,[0.4414  3本  3黒  1白]
0.99,0.0,0.51,1,2000000,1,
