p,b_step,w_step,span,comment
0.5,1,1,1,[-0.000472 1黒 1白 1目 1～1局] [-0.000434 1黒 1白 2目 2～3局] [0.000103 2黒 2白 2目 1～1局] [-0.000026 3黒 3白 3目 1～1局]
0.51,1,1,1,[0.010135 1黒 1白 1目 1～1局] [0.010037 2黒 2白 2目 1～1局] [0.009644 4黒 4白 4目 1～1局]
0.52,1,1,1,[0.019990 1黒 1白 1目 1～1局] [0.019832 2黒 2白 2目 1～1局] [0.019725 3黒 3白 3目 1～1局] [0.019671 4黒 4白 4目 1～1局] [0.019436 5黒 5白 5目 1～1局]
0.53,1,1,1,[0.030231 1黒 1白 1目 1～1局] [0.030106 3黒 3白 3目 1～1局] [0.029820 5黒 5白 5目 1～1局] [0.029690 6黒 6白 6目 1～1局]
0.54,1,1,1,[0.040328 1黒 1白 1目 1～1局] [0.039462 2黒 2白 2目 1～1局]
0.55,1,1,1,[0.049694 1黒 1白 1目 1～1局] [0.049691 5黒 5白 5目 1～1局]
0.56,1,1,1,[0.060096 1黒 1白 1目 1～1局] [0.059916 2黒 2白 2目 1～1局] [0.059751 3黒 3白 3目 1～1局] [-0.038196 2黒 3白 7目 3～6局]
0.57,1,1,1,[0.070317 1黒 1白 1目 1～1局] [0.069720 2黒 2白 2目 1～1局] [-0.017829 2黒 3白 7目 3～6局]
0.58,1,1,1,[0.079824 1黒 1白 1目 1～1局] [0.079657 2黒 2白 2目 1～1局] [-0.058519 1黒 2白 3目 2～4局]
0.59,1,1,1,[0.090136 1黒 1白 1目 1～1局] [0.089399 2黒 2白 2目 1～1局] [-0.042234 1黒 2白 3目 2～4局] [-0.041668 2黒 3白 5目 2～4局]
0.6,1,1,1,[0.100673 1黒 1白 1目 1～1局] [0.099351 2黒 2白 2目 1～1局] [-0.024775 1黒 2白 3目 2～4局] [-0.024468 2黒 4白 5目 2～4局]
0.61,1,1,1,[0.109803 1黒 1白 1目 1～1局] [-0.007794 1黒 2白 3目 2～4局] [-0.007632 2黒 4白 5目 2～4局] [-0.007510 2黒 3白 6目 2～4局]
0.62,1,1,1,[0.119520 1黒 1白 1目 1～1局] [-0.115653 1黒 2白 2目 1～2局] [0.010628 1黒 2白 3目 2～4局] [0.010254 2黒 3白 5目 2～4局]
0.63,1,1,1,[0.130279 1黒 1白 1目 1～1局] [-0.103179 1黒 2白 2目 1～2局] [0.027330 1黒 2白 3目 2～4局] [-0.013987 1黒 2白 5目 3～7局]
0.64,1,1,1,[0.139831 1黒 1白 1目 1～1局] [-0.090364 1黒 2白 2目 1～2局] [0.045223 1黒 2白 3目 2～4局] [0.009085 1黒 2白 5目 3～7局]
0.65,1,1,1,[0.150222 1黒 1白 1目 1～1局] [-0.077551 1黒 2白 2目 1～2局] [0.062825 1黒 2白 3目 2～4局] [0.032152 1黒 2白 5目 3～7局]
0.66,1,1,1,[0.159920 1黒 1白 1目 1～1局] [-0.064721 1黒 2白 2目 1～2局] [-0.064464 2黒 3白 3目 1～2局] [-0.052392 1黒 2白 4目 2～5局]
0.67,1,1,1,[0.170386 1黒 1白 1目 1～1局] [-0.050710 1黒 2白 2目 1～2局] [-0.032898 1黒 2白 4目 2～5局] [-0.032434 1黒 3白 4目 2～5局]
0.68,1,1,1,[0.180417 1黒 1白 1目 1～1局] [-0.037643 1黒 2白 2目 1～2局] [-0.037587 2黒 3白 3目 1～2局] [-0.012370 1黒 2白 4目 2～5局]
0.69,1,1,1,[0.190440 1黒 1白 1目 1～1局] [-0.023086 1黒 2白 2目 1～2局] [0.008006 1黒 2白 4目 2～5局] [0.007710 1黒 3白 4目 2～5局]
0.7,1,1,1,[0.199477 1黒 1白 1目 1～1局] [-0.010016 1黒 2白 2目 1～2局] [-0.009989 4黒 5白 5目 1～2局] [-0.009700 3黒 6白 6目 1～2局]
0.71,1,1,1,[0.210110 1黒 1白 1目 1～1局] [0.004455 1黒 2白 2目 1～2局] [0.004357 2黒 3白 3目 1～2局] [0.003939 2黒 4白 4目 1～2局]
0.72,1,1,1,[0.220315 1黒 1白 1目 1～1局] [0.017971 1黒 2白 2目 1～2局] [0.017840 2黒 3白 3目 1～2局]
0.73,1,1,1,[0.230103 1黒 1白 1目 1～1局] [0.033455 1黒 2白 2目 1～2局] [0.032524 2黒 3白 3目 1～2局] [-0.012728 1黒 3白 5目 2～6局]
0.74,1,1,1,[0.239790 1黒 1白 1目 1～1局] [0.048197 1黒 2白 2目 1～2局] [0.046914 2黒 3白 3目 1～2局] [0.010010 1黒 3白 5目 2～6局]
0.75,1,1,1,[0.249715 1黒 1白 1目 1～1局] [0.062745 1黒 2白 2目 1～2局] [0.062071 2黒 3白 3目 1～2局] [0.033619 1黒 3白 5目 2～6局]
0.76,1,1,1,[0.260296 1黒 1白 1目 1～1局] [0.077240 1黒 2白 2目 1～2局] [-0.061157 1黒 3白 3目 1～3局] [0.057705 1黒 3白 5目 2～6局]
0.77,1,1,1,[0.270066 1黒 1白 1目 1～1局] [0.093125 1黒 2白 2目 1～2局] [-0.043884 1黒 3白 3目 1～3局] [-0.004102 1黒 3白 6目 2～7局]
0.78,1,1,1,[0.280011 1黒 1白 1目 1～1局] [0.108301 1黒 2白 2目 1～2局] [-0.025016 1黒 3白 3目 1～3局] [0.022605 1黒 3白 6目 2～7局]
0.79,1,1,1,[0.290382 1黒 1白 1目 1～1局] [0.124178 1黒 2白 2目 1～2局] [-0.006866 1黒 3白 3目 1～3局] [-0.006734 2黒 5白 5目 1～3局]
0.8,1,1,1,[0.300482 1黒 1白 1目 1～1局] [0.139196 1黒 2白 2目 1～2局] [0.012497 1黒 3白 3目 1～3局] [0.012032 2黒 5白 5目 1～3局]
0.81,1,1,1,[0.309664 1黒 1白 1目 1～1局] [0.156606 1黒 2白 2目 1～2局] [0.031191 1黒 3白 3目 1～3局]
0.82,1,1,1,[0.320564 1黒 1白 1目 1～1局] [0.172426 1黒 2白 2目 1～2局] [0.052048 1黒 3白 3目 1～3局] [-0.047731 1黒 4白 4目 1～4局]
0.83,1,1,1,[0.330080 1黒 1白 1目 1～1局] [0.188894 1黒 2白 2目 1～2局] [0.072383 1黒 3白 3目 1～3局] [-0.025870 1黒 4白 4目 1～4局]
0.84,1,1,1,[0.339611 1黒 1白 1目 1～1局] [0.205438 1黒 2白 2目 1～2局] [0.093097 1黒 3白 3目 1～3局] [-0.001959 1黒 4白 4目 1～4局]
0.85,1,1,1,[0.349508 1黒 1白 1目 1～1局] [0.222731 1黒 2白 2目 1～2局] [0.114358 1黒 3白 3目 1～3局] [0.021840 1黒 4白 4目 1～4局]
0.86,1,1,1,[0.359800 1黒 1白 1目 1～1局] [0.239766 1黒 2白 2目 1～2局] [0.136007 1黒 3白 3目 1～3局] [0.047307 1黒 4白 4目 1～4局]
0.87,1,1,1,[0.370016 1黒 1白 1目 1～1局] [0.257389 1黒 2白 2目 1～2局] [0.158204 1黒 3白 3目 1～3局] [0.072949 1黒 4白 4目 1～4局]
0.88,1,1,1,[0.379983 1黒 1白 1目 1～1局] [0.274266 1黒 2白 2目 1～2局] [0.181874 1黒 3白 3目 1～3局] [0.099841 1黒 4白 4目 1～4局]
0.89,1,1,1,[0.389891 1黒 1白 1目 1～1局] [0.292234 1黒 2白 2目 1～2局] [0.204778 1黒 3白 3目 1～3局] [0.127115 1黒 4白 4目 1～4局]
0.9,1,1,1,[0.399805 1黒 1白 1目 1～1局] [0.310116 1黒 2白 2目 1～2局] [0.228838 1黒 3白 3目 1～3局] [0.156062 1黒 4白 4目 1～4局]
0.91,1,1,1,[0.409834 1黒 1白 1目 1～1局] [0.328059 1黒 2白 2目 1～2局] [0.253610 1黒 3白 3目 1～3局] [0.185771 1黒 4白 4目 1～4局]
0.92,1,1,1,[0.419760 1黒 1白 1目 1～1局] [0.346531 1黒 2白 2目 1～2局] [0.279061 1黒 3白 3目 1～3局] [0.216156 1黒 4白 4目 1～4局]
0.93,1,1,1,[0.430194 1黒 1白 1目 1～1局] [0.365305 1黒 2白 2目 1～2局] [0.304185 1黒 3白 3目 1～3局] [0.247633 1黒 4白 4目 1～4局]
0.94,1,1,1,[0.440075 1黒 1白 1目 1～1局] [0.383576 1黒 2白 2目 1～2局] [0.330388 1黒 3白 3目 1～3局] [0.280790 1黒 4白 4目 1～4局]
0.95,1,1,1,[0.449847 1黒 1白 1目 1～1局] [0.402634 1黒 2白 2目 1～2局] [0.357630 1黒 3白 3目 1～3局] [0.314646 1黒 4白 4目 1～4局]
0.96,1,1,1,[0.460049 1黒 1白 1目 1～1局] [0.421698 1黒 2白 2目 1～2局] [0.384698 1黒 3白 3目 1～3局] [0.349598 1黒 4白 4目 1～4局] [0.315473 1黒 5白 5目 1～5局]
0.97,1,1,1,[0.470072 1黒 1白 1目 1～1局] [0.441013 1黒 2白 2目 1～2局] [0.412694 1黒 3白 3目 1～3局] [0.385517 1黒 4白 4目 1～4局] [0.358680 1黒 5白 5目 1～5局]
0.98,1,1,1,[0.480031 1黒 1白 1目 1～1局] [0.460376 1黒 2白 2目 1～2局] [0.441458 1黒 3白 3目 1～3局] [0.422666 1黒 4白 4目 1～4局] [0.403696 1黒 5白 5目 1～5局] [0.385972 1黒 6白 6目 1～6局]
0.99,1,1,1,[0.489882 1黒 1白 1目 1～1局] [0.480267 1黒 2白 2目 1～2局] [0.470479 1黒 3白 3目 1～3局] [0.460470 1黒 4白 4目 1～4局] [0.450824 1黒 5白 5目 1～5局] [0.441414 1黒 6白 6目 1～6局] [0.432253 1黒 7白 7目 1～7局]
