p,failure_rate,number_of_series,p_step,q_step,span,presentable,comment,candidates
0.5,0.0,0.0,1.0,1.0,1.0,,,[45.0149 ％（-4.9851） 2表 2裏 2目 1～1局] [45.6930 ％（-4.3070） 1表 2裏 3目 2～4局] [46.0247 ％（-3.9753） 1表 3裏 4目 2～5局] [46.5699 ％（-3.4301） 1表 3裏 5目 3～6局]
0.51,0.0,0.0,1.0,1.0,1.0,,,[45.9316 ％（-4.0684） 2表 2裏 2目 1～1局] [46.2891 ％（-3.7109） 1表 3裏 4目 2～5局] [46.8832 ％（-3.1168） 1表 3裏 5目 3～6局]
0.52,0.0,0.0,1.0,1.0,1.0,,,[46.8511 ％（-3.1489） 2表 2裏 2目 1～1局] [47.1038 ％（-2.8962） 1表 3裏 5目 3～6局]
0.53,0.0,0.0,1.0,1.0,1.0,,,[48.7874 ％（-1.2126） 3表 4裏 5目 2～3局] [49.5823 ％（-0.4177） 2表 3裏 7目 3～6局]
0.54,0.0,0.0,1.0,1.0,1.0,,,[48.6106 ％（-1.3894） 2表 2裏 2目 1～1局] [49.1199 ％（-0.8801） 3表 4裏 5目 2～3局]
0.55,0.0,0.0,1.0,1.0,1.0,,,[49.5414 ％（-0.4586） 3表 3裏 3目 1～1局]
0.56,0.0,0.0,1.0,1.0,1.0,,,[50.3513 ％（+0.3513） 3表 3裏 3目 1～1局] [49.7947 ％（-0.2053） 3表 4裏 5目 2～3局]
0.57,0.0,0.0,1.0,1.0,1.0,,,[51.2846 ％（+1.2846） 2表 2裏 2目 1～1局]
0.58,0.0,0.0,1.0,1.0,1.0,,,[52.1635 ％（+2.1635） 2表 2裏 2目 1～1局]
0.59,0.0,0.0,1.0,1.0,1.0,,,[47.9467 ％（-2.0533） 1表 1裏 2目 2～3局]
0.6,0.0,0.0,1.0,1.0,1.0,,,[48.5509 ％（-1.4491） 1表 1裏 2目 2～3局]
0.61,0.0,0.0,1.0,1.0,1.0,,,[48.9251 ％（-1.0749） 1表 1裏 2目 2～3局]
0.62,0.0,0.0,1.0,1.0,1.0,,,[49.5244 ％（-0.4756） 1表 1裏 2目 2～3局]
0.63,0.0,0.0,1.0,1.0,1.0,,,[49.9918 ％（-0.0082） 1表 1裏 2目 2～3局]
0.64,0.0,0.0,1.0,1.0,1.0,,,[50.4895 ％（+0.4895） 1表 1裏 2目 2～3局]
0.65,0.0,0.0,1.0,1.0,1.0,,,[51.0274 ％（+1.0274） 1表 1裏 2目 2～3局]
0.66,0.0,0.0,1.0,1.0,1.0,,,[51.5034 ％（+1.5034） 1表 1裏 2目 2～3局]
0.67,0.0,0.0,1.0,1.0,1.0,,,[52.0227 ％（+2.0227） 1表 1裏 2目 2～3局]
0.68,0.0,0.0,1.0,1.0,1.0,,,[52.6709 ％（+2.6709） 1表 1裏 2目 2～3局]
0.69,0.0,0.0,1.0,1.0,1.0,,,[53.1923 ％（+3.1923） 1表 1裏 2目 2～3局]
0.7,0.0,0.0,1.0,1.0,1.0,,,[53.7983 ％（+3.7983） 1表 1裏 2目 2～3局]
0.71,0.0,0.0,1.0,1.0,1.0,,,[54.4303 ％（+4.4303） 1表 1裏 2目 2～3局]
0.72,0.0,0.0,1.0,1.0,1.0,,,[54.9728 ％（+4.9728） 1表 1裏 2目 2～3局]
0.73,0.0,0.0,1.0,1.0,1.0,,,[55.7057 ％（+5.7057） 1表 1裏 2目 2～3局]
0.74,0.0,0.0,1.0,1.0,1.0,,,[56.3070 ％（+6.3070） 1表 1裏 2目 2～3局]
0.75,0.0,0.0,1.0,1.0,1.0,,,[56.9890 ％（+6.9890） 1表 1裏 2目 2～3局]
0.76,0.0,0.0,1.0,1.0,1.0,,,[57.7592 ％（+7.7592） 1表 1裏 2目 2～3局]
0.77,0.0,0.0,1.0,1.0,1.0,,,[58.4601 ％（+8.4601） 1表 1裏 2目 2～3局]
0.78,0.0,0.0,1.0,1.0,1.0,,,[59.1726 ％（+9.1726） 1表 1裏 2目 2～3局]
0.79,0.0,0.0,1.0,1.0,1.0,,,[59.9171 ％（+9.9171） 1表 1裏 2目 2～3局]
0.8,0.0,0.0,1.0,1.0,1.0,,,[60.7357 ％（+10.7357） 1表 1裏 2目 2～3局]
0.81,0.0,0.0,1.0,1.0,1.0,,,[61.5151 ％（+11.5151） 1表 1裏 2目 2～3局]
0.82,0.0,0.0,1.0,1.0,1.0,,,[62.3683 ％（+12.3683） 1表 1裏 2目 2～3局]
0.83,0.0,0.0,1.0,1.0,1.0,,,[63.2424 ％（+13.2424） 1表 1裏 2目 2～3局]
0.84,0.0,0.0,1.0,1.0,1.0,,,[64.1050 ％（+14.1050） 1表 1裏 2目 2～3局]
0.85,0.0,0.0,1.0,1.0,1.0,,,[65.0490 ％（+15.0490） 1表 1裏 2目 2～3局]
0.86,0.0,0.0,1.0,1.0,1.0,,,[65.9871 ％（+15.9871） 1表 1裏 2目 2～3局]
0.87,0.0,0.0,1.0,1.0,1.0,,,[66.9689 ％（+16.9689） 1表 1裏 2目 2～3局]
0.88,0.0,0.0,1.0,1.0,1.0,,,[67.9706 ％（+17.9706） 1表 1裏 2目 2～3局]
0.89,0.0,0.0,1.0,1.0,1.0,,,[68.9968 ％（+18.9968） 1表 1裏 2目 2～3局]
0.9,0.0,0.0,1.0,1.0,1.0,,,[70.0623 ％（+20.0623） 1表 1裏 2目 2～3局]
0.91,0.0,0.0,1.0,1.0,1.0,,,[71.2021 ％（+21.2021） 1表 1裏 2目 2～3局]
0.92,0.0,0.0,1.0,1.0,1.0,,,[72.2937 ％（+22.2937） 1表 1裏 2目 2～3局]
0.93,0.0,0.0,1.0,1.0,1.0,,,[73.5315 ％（+23.5315） 1表 1裏 2目 2～3局]
0.94,0.0,0.0,1.0,1.0,1.0,,,[74.7107 ％（+24.7107） 1表 1裏 2目 2～3局]
0.95,0.0,0.0,1.0,1.0,1.0,,,[76.0108 ％（+26.0108） 1表 1裏 2目 2～3局]
0.96,0.0,0.0,1.0,1.0,1.0,,,[77.2471 ％（+27.2471） 1表 1裏 2目 2～3局]
0.97,0.0,0.0,1.0,1.0,1.0,,,[78.5907 ％（+28.5907） 1表 1裏 2目 2～3局]
0.98,0.0,0.0,1.0,1.0,1.0,,,[79.9054 ％（+29.9054） 1表 1裏 2目 2～3局]
0.99,0.0,0.0,1.0,1.0,1.0,,,[81.3724 ％（+31.3724） 1表 1裏 2目 2～3局]
0.5,0.1,20.0,0.0,1.0,1.0,,,[45.0149 ％（-4.9851） 2表 2裏 2目 1～1局] [45.6930 ％（-4.3070） 1表 2裏 3目 2～4局] [46.0247 ％（-3.9753） 1表 3裏 4目 2～5局] [46.5699 ％（-3.4301） 1表 3裏 5目 3～6局]
0.51,0.1,20.0,0.0,1.0,1.0,,,[45.9316 ％（-4.0684） 2表 2裏 2目 1～1局] [46.2891 ％（-3.7109） 1表 3裏 4目 2～5局] [46.8832 ％（-3.1168） 1表 3裏 5目 3～6局]
0.52,0.1,20.0,0.0,1.0,1.0,,,[46.8511 ％（-3.1489） 2表 2裏 2目 1～1局] [47.1038 ％（-2.8962） 1表 3裏 5目 3～6局]
0.53,0.1,20.0,0.0,1.0,1.0,,,[48.7874 ％（-1.2126） 3表 4裏 5目 2～3局] [49.5823 ％（-0.4177） 2表 3裏 7目 3～6局]
