p,number_of_series,p_step,q_step,span,presentable,comment,candidates
0.50,0,1,1,1,,,[50.0000 ％（+0.0000） 1表 1裏 1目 1～1局]
0.51,0,1,1,1,,,[51.0000 ％（+1.0000） 1表 1裏 1目 1～1局] [49.0584 ％（-0.9416） 11表 12裏 241目 21～42局] [49.3201 ％（-0.6799） 11表 12裏 253目 22～44局] [49.5698 ％（-0.4302） 12表 13裏 287目 23～46局] [49.8088 ％（-0.1912） 12表 13裏 300目 24～48局]
0.52,0,1,1,1,,,[52.0000 ％（+2.0000） 1表 1裏 1目 1～1局] [48.3443 ％（-1.6557） 5表 6裏 55目 10～20局] [49.0984 ％（-0.9016） 6表 7裏 71目 11～22局] [49.7858 ％（-0.2142） 6表 7裏 78目 12～24局] [49.8490 ％（-0.1510） 8表 9裏 208目 24～49局]
0.53,0,1,1,1,,,[53.0000 ％（+3.0000） 1表 1裏 1目 1～1局] [47.0347 ％（-2.9653） 3表 4裏 21目 6～12局] [48.5223 ％（-1.4777） 4表 5裏 31目 7～14局] [49.8078 ％（-0.1922） 4表 5裏 36目 8～16局] [50.0022 ％（+0.0022） 6表 7裏 106目 16～33局]
0.54,0,1,1,1,《3表 4裏 21目 6～12局で４９％》,【５４％１～１局】,[54.0000 ％（+4.0000） 1表 1裏 1目 1～1局] [47.8443 ％（-2.1557） 3表 4裏 17目 5～10局] [49.8605 ％（-0.1395） 3表 4裏 21目 6～12局] [49.9335 ％（-0.0665） 5表 6裏 169目 29～62局]
0.55,0,1,1,1,《3表 4裏 17目 5～10局で５０％》,【５５％１～１局】,[55.0000 ％（+5.0000） 1表 1裏 1目 1～1局] [47.6956 ％（-2.3044） 2表 3裏 10目 4～8局] [50.4405 ％（+0.4405） 3表 4裏 17目 5～10局] [50.2476 ％（+0.2476） 4表 5裏 66目 14～30局] [50.1907 ％（+0.1907） 4表 5裏 111目 23～50局] [50.1608 ％（+0.1608） 4表 5裏 156目 32～70局] [50.1416 ％（+0.1416） 5表 6裏 246目 41～90局]
0.56,0,2,3,7,,,[56.0000 ％（+6.0000） 1表 1裏 1目 1～1局] [46.1828 ％（-3.8172） 2表 3裏 7目 3～6局] [50.0364 ％（+0.0364） 2表 3裏 10目 4～8局] [50.0045 ％（+0.0045） 3表 4裏 57目 15～33局]
0.57,0,2,3,7,,,[57.0000 ％（+7.0000） 1表 1裏 1目 1～1局] [48.2304 ％（-1.7696） 2表 3裏 7目 3～6局] [48.5412 ％（-1.4588） 2表 3裏 16目 6～13局] [48.6356 ％（-1.3644） 3表 4裏 34目 9～20局] [51.0931 ％（+1.0931） 3表 4裏 37目 10～22局] [50.8020 ％（+0.8020） 3表 4裏 49目 13～29局] [50.5852 ％（+0.5852） 3表 4裏 61目 16～36局] [50.4124 ％（+0.4124） 3表 4裏 73目 19～43局] [50.2683 ％（+0.2683） 3表 4裏 85目 22～50局] [50.1445 ％（+0.1445） 3表 4裏 97目 25～57局] [50.0355 ％（+0.0355） 3表 4裏 109目 28～64局] [50.0214 ％（+0.0214） 3表 4裏 281目 71～164局]
0.58,0,2,3,7,,,[58.0000 ％（+8.0000） 1表 1裏 1目 1～1局] [44.0953 ％（-5.9047） 1表 2裏 3目 2～4局] [50.2905 ％（+0.2905） 2表 3裏 7目 3～6局] [49.8284 ％（-0.1716） 3表 4裏 64目 16～37局] [50.0747 ％（+0.0747） 5表 7裏 162目 24～56局] [50.0534 ％（+0.0534） 5表 7裏 309目 45～106局]
0.59,0,2,3,7,,,[59.0000 ％（+9.0000） 1表 1裏 1目 1～1局] [45.7995 ％（-4.2005） 1表 2裏 3目 2～4局] [52.3591 ％（+2.3591） 2表 3裏 7目 3～6局] [50.5203 ％（+0.5203） 2表 3裏 13目 5～11局] [50.0070 ％（+0.0070） 2表 3裏 40目 14～33局]
