   p, b_point, w_point,
0.50,       1,       1,
0.51,       1,       1,
0.52,       1,       1,
0.53,       1,       1,
0.54,       1,       1,
0.55,       1,       1,
0.56,       1,       1,
0.57,       1,       1,
0.58,       3,       2,
0.59,       3,       2,
0.60,       3,       2,
0.61,       3,       2,
0.62,       3,       2,
0.63,       3,       2,
0.64,       5,       3,
0.65,       5,       3,
0.66,       7,       4,
0.67,       4,       2,
0.68,       4,       2,
0.69,       2,       1,
0.70,       2,       1,
0.71,       2,       1,
0.72,       2,       1,
0.73,       5,       2,
0.74,       5,       2,
0.75,       5,       2,
0.76,       6,       2,
0.77,       6,       2,
0.78,       3,       1,
0.79,       3,       1,
0.80,       3,       1,
0.81,       3,       1,
0.82,       8,       2,
0.83,       4,       1,
0.84,       4,       1,
0.85,       4,       1,
0.86,       5,       1,
0.87,       5,       1,
0.88,       5,       1,
0.89,       6,       1,
0.90,       7,       1,
0.91,       7,       1,
0.92,       8,       1,
0.93,       9,       1,
0.94,      11,       1,
0.95,      13,       1,
0.96,      16,       1,
0.97,      21,       1,
0.98,      32,       1,
0.99,      64,       1,
