span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
14,7,1,0.0296093263910906,0.970390673608904,0.0
13,12,1,0.0404209172629823,0.9595790827370124,0.0
6,6,1,0.1079181630809999,0.8920818369189999,0.0
7,4,1,0.2360493981070705,0.763950601892928,0.0
11,6,2,0.3086459464116593,0.69135405358834,0.0
11,3,1,0.3253010002032819,0.674698999796634,0.0
2,2,1,0.4760999999999999,0.5239,0.0
5,5,3,0.4760999999999999,0.5239,0.0
6,6,5,0.4760999999999999,0.5239,0.0
10,10,5,0.4760999999999999,0.5239,0.0
7,5,2,0.5077435103999999,0.4922564896,0.0
8,5,2,0.5077435103999999,0.4922564896,0.0
12,9,3,0.5077435103999999,0.4922564896,0.0
5,2,1,0.6242831129533492,0.37571688704665,0.0
5,3,2,0.6340223699999998,0.3659776300000001,0.0
5,4,2,0.6340223699999998,0.3659776300000001,0.0
6,4,2,0.6340223699999998,0.3659776300000001,0.0
8,5,3,0.6340223699999998,0.3659776300000001,0.0
8,7,3,0.6340223699999998,0.3659776300000001,0.0
1,1,1,0.69,0.31,0.0
7,3,2,0.7255745432099997,0.27442545679,0.0
8,3,2,0.7255745432099997,0.27442545679,0.0
2,1,1,0.7712819999999999,0.228718,0.0
3,2,2,0.7712819999999999,0.228718,0.0
4,3,2,0.7712819999999999,0.228718,0.0
5,4,3,0.7712819999999999,0.228718,0.0
6,5,5,0.7712819999999999,0.228718,0.0
8,5,4,0.7712819999999999,0.228718,0.0
8,6,5,0.7712819999999999,0.228718,0.0
11,6,6,0.7712819999999999,0.228718,0.0
11,9,7,0.7712819999999999,0.228718,0.0
12,11,11,0.7712819999999999,0.228718,0.0
13,9,7,0.7712819999999999,0.228718,0.0
4,1,1,0.8606297835521997,0.1393702164478,0.0
