span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
8,4,1,0.3003387451171873,0.699661254882812,0.0
8,6,1,0.3003387451171873,0.699661254882812,0.0
15,11,2,0.3003387451171873,0.699661254882812,0.0
7,4,1,0.3670806884765625,0.6329193115234375,0.0
10,4,1,0.3906750082969636,0.6093249917030272,0.0
5,5,2,0.421875,0.578125,0.0
9,3,1,0.4552009105682346,0.5447990894317571,0.0
8,3,1,0.5255928039550777,0.4744071960449187,0.0
10,6,2,0.533935546875,0.466064453125,0.0
14,7,3,0.533935546875,0.466064453125,0.0
4,4,3,0.5625,0.4375,0.0
6,6,4,0.5625,0.4375,0.0
9,9,7,0.5625,0.4375,0.0
4,3,1,0.6328125,0.3671875,0.0
7,4,2,0.6328125,0.3671875,0.0
10,5,3,0.6328125,0.3671875,0.0
11,5,2,0.6785430908203125,0.3214569091796875,0.0
9,6,3,0.73828125,0.26171875,0.0
15,11,7,0.73828125,0.26171875,0.0
1,1,1,0.75,0.25,0.0
2,2,2,0.75,0.25,0.0
7,2,1,0.7758750915527265,0.2241249084472567,0.0
7,3,2,0.83056640625,0.16943359375,0.0
8,3,2,0.83056640625,0.16943359375,0.0
2,1,1,0.84375,0.15625,0.0
4,3,3,0.84375,0.15625,0.0
7,6,4,0.84375,0.15625,0.0
7,6,6,0.84375,0.15625,0.0
8,5,4,0.84375,0.15625,0.0
9,6,5,0.84375,0.15625,0.0
10,9,9,0.84375,0.15625,0.0
13,8,7,0.84375,0.15625,0.0
13,9,7,0.84375,0.15625,0.0
14,7,7,0.84375,0.15625,0.0
15,8,8,0.84375,0.15625,0.0
10,3,2,0.8861846923828125,0.1138153076171875,0.0
3,1,1,0.896484375,0.103515625,0.0
15,6,5,0.896484375,0.103515625,0.0
9,2,2,0.9510726928710884,0.0489273071289045,0.0
15,3,3,0.9510726928710884,0.0489273071289045,0.0
6,1,1,0.9656724929809388,0.0343275070190387,0.0
